date,comment
2016-07-13 23:15:27,这个水还是很受欢迎的，之前在欧洲喝过，回国京东也能买到，真的很好，家人也爱上sparkling water了。
2016-07-08 08:55:17,非常喜欢喝，个人很推荐，有柠檬的香气，但是没有讨厌的糖分，口感和去了甜味的雪碧差不多
2017-05-27 09:21:49,都是大瓶的！最爱青柠味儿。瓶子喝完了扔掉好可惜
2015-09-07 22:37:29,东西很不错，物流是京东的，点对点门对门服务。
2017-07-29 17:12:01,味道不错青柠味道且物流很快哈！
2015-04-10 15:45:45,非常好！快递员给个赞！本来在东门，我说东西沉距离远就到北门来送的！！！
2016-02-03 23:12:42,这个水太好喝啦，大爱，京东超赞
2016-06-25 18:19:47,京东配送很快，618活动买的超值，一直信赖京东！
2018-01-30 21:49:19,很喜欢这个口味，买了好几次了~快递小哥很给力，主动帮忙搬到屋子里~
2017-05-16 15:01:16,给老板买的，超级及时，没耽误事，快递员态度超级好，早上打电话，说尽快往我这边赶，反正都挺好的
2016-07-13 23:15:27,这个水还是很受欢迎的，之前在欧洲喝过，回国京东也能买到，真的很好，家人也爱上sparkling water了。
2016-07-08 08:55:17,非常喜欢喝，个人很推荐，有柠檬的香气，但是没有讨厌的糖分，口感和去了甜味的雪碧差不多
2017-05-27 09:21:49,都是大瓶的！最爱青柠味儿。瓶子喝完了扔掉好可惜
2015-09-07 22:37:29,东西很不错，物流是京东的，点对点门对门服务。
2017-07-29 17:12:01,味道不错青柠味道且物流很快哈！
2015-04-10 15:45:45,非常好！快递员给个赞！本来在东门，我说东西沉距离远就到北门来送的！！！
2016-02-03 23:12:42,这个水太好喝啦，大爱，京东超赞
2016-06-25 18:19:47,京东配送很快，618活动买的超值，一直信赖京东！
2018-01-30 21:49:19,很喜欢这个口味，买了好几次了~快递小哥很给力，主动帮忙搬到屋子里~
2017-05-16 15:01:16,给老板买的，超级及时，没耽误事，快递员态度超级好，早上打电话，说尽快往我这边赶，反正都挺好的
2016-07-13 23:15:27,这个水还是很受欢迎的，之前在欧洲喝过，回国京东也能买到，真的很好，家人也爱上sparkling water了。
2016-07-08 08:55:17,非常喜欢喝，个人很推荐，有柠檬的香气，但是没有讨厌的糖分，口感和去了甜味的雪碧差不多
2017-05-27 09:21:49,都是大瓶的！最爱青柠味儿。瓶子喝完了扔掉好可惜
2015-09-07 22:37:29,东西很不错，物流是京东的，点对点门对门服务。
2017-07-29 17:12:01,味道不错青柠味道且物流很快哈！
2015-04-10 15:45:45,非常好！快递员给个赞！本来在东门，我说东西沉距离远就到北门来送的！！！
2016-02-03 23:12:42,这个水太好喝啦，大爱，京东超赞
2016-06-25 18:19:47,京东配送很快，618活动买的超值，一直信赖京东！
2018-01-30 21:49:19,很喜欢这个口味，买了好几次了~快递小哥很给力，主动帮忙搬到屋子里~
2017-05-16 15:01:16,给老板买的，超级及时，没耽误事，快递员态度超级好，早上打电话，说尽快往我这边赶，反正都挺好的
2016-07-13 23:15:27,这个水还是很受欢迎的，之前在欧洲喝过，回国京东也能买到，真的很好，家人也爱上sparkling water了。
2016-07-08 08:55:17,非常喜欢喝，个人很推荐，有柠檬的香气，但是没有讨厌的糖分，口感和去了甜味的雪碧差不多
2017-05-27 09:21:49,都是大瓶的！最爱青柠味儿。瓶子喝完了扔掉好可惜
2015-09-07 22:37:29,东西很不错，物流是京东的，点对点门对门服务。
2017-07-29 17:12:01,味道不错青柠味道且物流很快哈！
2015-04-10 15:45:45,非常好！快递员给个赞！本来在东门，我说东西沉距离远就到北门来送的！！！
2016-02-03 23:12:42,这个水太好喝啦，大爱，京东超赞
2016-06-25 18:19:47,京东配送很快，618活动买的超值，一直信赖京东！
2018-01-30 21:49:19,很喜欢这个口味，买了好几次了~快递小哥很给力，主动帮忙搬到屋子里~
2017-05-16 15:01:16,给老板买的，超级及时，没耽误事，快递员态度超级好，早上打电话，说尽快往我这边赶，反正都挺好的
2016-07-13 23:15:27,这个水还是很受欢迎的，之前在欧洲喝过，回国京东也能买到，真的很好，家人也爱上sparkling water了。
2016-07-08 08:55:17,非常喜欢喝，个人很推荐，有柠檬的香气，但是没有讨厌的糖分，口感和去了甜味的雪碧差不多
2017-05-27 09:21:49,都是大瓶的！最爱青柠味儿。瓶子喝完了扔掉好可惜
2015-09-07 22:37:29,东西很不错，物流是京东的，点对点门对门服务。
2017-07-29 17:12:01,味道不错青柠味道且物流很快哈！
2015-04-10 15:45:45,非常好！快递员给个赞！本来在东门，我说东西沉距离远就到北门来送的！！！
2016-02-03 23:12:42,这个水太好喝啦，大爱，京东超赞
2016-06-25 18:19:47,京东配送很快，618活动买的超值，一直信赖京东！
2018-01-30 21:49:19,很喜欢这个口味，买了好几次了~快递小哥很给力，主动帮忙搬到屋子里~
