date,comment
2019-10-21 00:00:40,"水质甘甜可口，没有异味（有些品牌真的有味道哦）
全家人都特别喜欢这款水 
价钱合适性价比最高
做饭泡茶均可 如果你愿意还可以洗澡 哈哈哈哈哈 
说笑了 
沏茶是真的很好 我很喜欢用它泡龙井或者普洱 
顺滑柔和
唯一比较麻烦的就是盖子很难拧 
水太满容易溢出来"
2019-05-28 02:52:48,特别好喝的水，我都喝怡宝十年了，做饭喝茶泡咖啡，不是怡宝我都不喝的，吹爆这个水，大家有心人可以比较一下非常好的水哦?京东快递一直嗖嗖的快！棒呆?
2019-10-30 10:40:16,网购改变生活啊，家里的柴米油盐酱醋茶都是在京东买的。家里人特别喜欢怡宝这个牌子的水，入口甘甜，回味无穷。所以大桶装的水就是家中经常回购的商品了，京东送货上门，省去了去超市搬运的时间和力气，真是特别的方便呢。
2019-10-25 14:10:52,水不错 包装也很好 送货快 第二天就到了 辛苦快递小哥 。买来放加湿器里的 没喝过 应该可以的吧 纯净水相对来说杂质少 价钱算起来比较便宜，都是大桶的，冬天供暖屋里太干燥，就得用加湿器。下次还得买点
2019-11-24 16:40:00,一直买的这个水，很方便，之前还送饮水机现在为啥不送了，期待送饮水机的活动的到来，快递小哥也很给力，每一次都有点不好意思，这么重的水送到四楼没有电梯，很辛苦，但是每一次小哥都是微笑的说没事儿，京东很方便
2019-08-30 19:33:25,完了，这水已经喝上瘾了，&ldquo;中毒太深&rdquo;，每周固定2箱。口感真的没得说，甘甜可口。个人感觉要比农夫要好喝的多。包装严实，瓶口塑封包装。快递迅速，早上买，晚上到。唯一一点，心疼快递小哥哥，家住6楼，每次开门都是小哥哥气喘吁吁的那个表情，哈哈。
2019-09-16 21:31:27,一次买了八桶，真是超级爽啊，超级爽，怡宝的水，做饭很好吃，嫩嫩的，特别香甜可口，美味不用等，平时喝也是口感不错的，真是太爽了哈哈哈哈，价格也不贵，京东小哥送货很快，口感不错，很好喝，真的很喜欢，好评没的说
2019-11-06 09:13:27,京东物流真的很快。水包装的好看。怡宝牌子的水口感非常不错。结合双十一，优惠力度很大。很实惠。大桶的水冲茶喝，真的很不错，也很方便。会继续关注的。
2019-09-01 13:11:58,这个水就是这么好喝，怎么也换不掉，水的味道甘甜清冽，泡茶尤其明显，用别的水泡就没这个好喝。用它来做饭，饭也很鲜甜美味，已经是生活中的一部分，是一种生活方式。所以亲们可以买来试试就理解我的意思了，绝对不会后悔的！京东快递小哥服务棒，每天在小区和小区周围上上下下送东西，非常辛苦，也非常准时！必须给个大大的赞?加油哦?
2019-10-28 16:53:14,怡宝这个大桶的饮用水，包装很好，盖子很大，很好拧开。提手方便提拿倒水。水的口感很柔，味道不错，比较好喝，用来做饭泡茶都可以，可以直接导入热水壶。价格比较便宜，经常有活动，可以多买几箱。送货的师傅很负责，每次都放到室内，不用再从门口搬了。
