,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
0,1,1,平安银行,平安银行股份有限公司,深圳市,罗湖区,1029.58亿,236.21亿,32758,1991-04-03,--,,银行,主营业务:经有关监管机构批准的各项商业银行业务,经有关监管机构批准的各项商业银行业务
1,2,2,万科A,万科企业股份有限公司,深圳市,盐田区,2239.15亿,285.90亿,112059,1991-01-29,--,,房地产开发,主营业务:房地产开发和物业服务,房地产开发和物业服务
2,3,4,国农科技,深圳中国农大科技股份有限公司,深圳市,南山区,1.08亿,-1304.78万,210,1991-01-14,--,,生物医药,主营业务:生物制药,生物制药
3,4,5,世纪星源,深圳世纪星源股份有限公司,深圳市,罗湖区,5.69亿,4738.39万,745,1990-12-10,--,,环保工程、物业管理,主营业务:绿色低碳城市社区建设相关的服务业务,绿色低碳城市社区建设相关的服务业务
4,5,6,深振业A,深圳市振业(集团)股份有限公司,深圳市,罗湖区,19.63亿,4.62亿,377,1992-04-27,--,,房地产开发,主营业务:从事房地产开发与销售,从事房地产开发与销售
5,6,7,全新好,深圳市全新好股份有限公司,深圳市,福田区,3107.44万,-935.32万,84,1992-04-13,--,,物业经营,主营业务:物业管理和房屋租赁业等,物业管理和房屋租赁业等
6,7,8,神州高铁,神州高铁技术股份有限公司,北京市,海淀区,15.60亿,1.58亿,2631,1992-05-07,--,,轨道交通设备,主营业务:专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
7,8,9,中国宝安,中国宝安集团股份有限公司,深圳市,罗湖区,87.93亿,5.74亿,13620,1991-06-25,--,,综合,主营业务:新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
8,9,10,*ST美丽,深圳美丽生态股份有限公司,深圳市,宝安区,10.83亿,1.11亿,545,1995-10-27,--,,园林工程,主营业务:从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
9,10,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳市,罗湖区,10.02亿,4615.25万,5504,1992-03-30,--,,房地产开发,主营业务:从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
10,11,12,南玻A,中国南玻集团股份有限公司,深圳市,南山区,76.62亿,5.62亿,10800,1992-02-28,--,,玻璃,"主营业务:平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售","平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售"
11,12,14,沙河股份,沙河实业股份有限公司,深圳市,南山区,9076.62万,-1155.58万,148,1992-06-02,--,,房地产开发,主营业务:房地产开发和销售,房地产开发和销售
12,13,16,深康佳A,康佳集团股份有限公司,深圳市,南山区,416.81亿,6.31亿,18965,1992-03-27,--,,电视机,主营业务:彩电业务、手机业务、白电业务、供应链贸易,彩电业务、手机业务、白电业务、供应链贸易
13,14,17,深中华A,深圳中华自行车(集团)股份有限公司,深圳市,深圳市,6284.89万,-4.06万,53,1992-03-31,--,,自行车,主营业务:电动自行车、自行车及零配件的生产和销售以及物业管理。,电动自行车、自行车及零配件的生产和销售以及物业管理。
14,15,18,*ST神城,神州长城股份有限公司,深圳市,龙岗区,3.24亿,-15.29亿,821,1992-06-16,--,,装修装饰,主营业务:建筑装饰工程设计与施工及建筑相关工程施工,建筑装饰工程设计与施工及建筑相关工程施工
15,16,19,深粮控股,深圳市深粮控股股份有限公司,深圳市,南山区,74.81亿,3.46亿,1096,1992-10-12,--,,软饮料,主营业务:茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业,茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业
16,17,20,深华发A,深圳中恒华发股份有限公司,深圳市,福田区,5.49亿,337.67万,1016,1992-04-28,--,,电子零部件,主营业务:精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
17,18,21,深科技,深圳长城开发科技股份有限公司,深圳市,福田区,100.86亿,3.41亿,21974,1994-02-02,--,,PC、服务器及硬件,主营业务:计算机硬件、通讯设备等。,计算机硬件、通讯设备等。
18,19,22,深赤湾A,招商局港口集团股份有限公司,深圳市,南山区,--,--,1719,1993-05-05,--,,港口,装卸业务、港口配套业务、代理及其他业务,集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
19,20,23,深天地A,深圳市天地(集团)股份有限公司,深圳市,南山区,12.68亿,7937.17万,1088,1993-04-29,--,,商品混凝土,主营业务:混凝土的生产和销售、房地产的开发与销售,混凝土的生产和销售、房地产的开发与销售
0,21,25,特力A,深圳市特力(集团)股份有限公司,深圳市,罗湖区,4.26亿,6541.11万,337,1993-06-21,--,,汽车销售,主营业务:汽车销售、汽车检测维修及配件销售、物业租赁及服务,汽车销售、汽车检测维修及配件销售、物业租赁及服务
1,22,26,飞亚达A,飞亚达(集团)股份有限公司,深圳市,南山区,27.40亿,1.79亿,5162,1993-06-03,--,,珠宝首饰,"主营业务:主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售","主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
