User,Gender,Level,Message
学嘛不好非要学医,保密,5,"我可能很难再看到这样一场方方面面都合乎我心意的晚会了。
除了b站春晚和明年跨年(？)
我是普普通通千千万万95后中的一个。
我喜欢看霓虹番剧，也在片头刷过“是我此生不变的信仰”。
我也期待国漫崛起，电影院去过后还在b站配合弹幕看我吒儿的命和不信命。
我有时候也听外文歌，虽然什么都听不懂，但是美好的旋律也值得单纯欣赏。
我也爱传统乐器，教主的古筝视频我也一脸兴奋地打开给全家人看。
我时常刷鬼畜区看老熟人们喊出一次又一次“从未见过如此厚颜无耻之人”，我也看着对我而言有些陌生的人们一次次发出感叹。
我做过在十一岁接到猫头鹰的信的梦，也为种花的一身荣光和艰辛崛起而回到现实面对试卷。
我梦回秦唐宋明，我也为科技兴叹。
我喜欢下里巴人，我憧憬阳春白雪。

我也不知道我想看怎样的一场晚会，没有见过冰块的人恐怕根本想象不到怎么描绘那种透骨的凉意，触碰后也只能小心翼翼缩回手，说出一句“它在烧”。
这场晚会就是在燃烧。
是舞台上的表演在燃烧，是灯光和音乐在燃烧，是主持人，是台下的策划，是摄像，是调教，是观众席的观众，他们是璀璨的火焰，星星点点的荧光棒和每一条饱含赞美的弹幕都是爆裂出的细小火花。
“嘭”
细碎的火花炸响。
那是新年的声音。"
皮沙发great,保密,4,各位，这个晚会让哔哩哔哩股价上升了近两个百分点，真是流弊
踩雨的粽子,女,4,"主持人：朱广权，陈超
第一篇章『日落』
1.欢迎回到 艾泽拉斯         O-DOG舞团
《魔兽世界》舞蹈秀1:13

2.哪吒        GAI周廷
《哪吒之魔童降世》电影主题曲12:42
《华夏》16:37

3.《生活因你而狂热》20:53    新裤子乐队

4.《空心》30:36       冯提莫
《佛系少女》35:15

5.Jump Up High！  
《Only My Raligun》40:19   胜乐一
《Butter—Fly》43:13    大琴KoTo，绛舞乱丸，SaxoPEdCh，唯涅泰罗
《逮虾户》44:37
《名侦探柯南》46:39

6.种花组曲      军心爱乐合唱团，张光北
《钢铁洪流进行曲》52:57

7.Phoenix       ChrissyCostanza
《涅槃》2019英雄联盟全球总决赛主题曲59:04

中场魔术恰饭    王禹  62:23

第二章『月升』
1.我为歌狂     胡彦斌
《有梦好甜蜜》《我为歌狂》插曲00:58
《我的舞台》《我为歌狂》主题曲4:58

2.见.东方
《新九九八十一》9:35  肥皂菌，墨韵Moyun，团团子，陆二胡，孟晓洁Jac
《爱殇》11:58   小时姑娘，紫颜—小仙紫
《蒹葭/白露》14:26      方颂评
《天地有道》15:59      易言

3.《去流浪》20:05    周笔畅
《女流》20:43
   
4.《Game Of Thrones Main Tittles》29:34     Luka salic
权利的游戏主题曲
《The Four Seasons:Summer》35:44
四季一夏

5.《不愿回头》  38:30   南征北战NZBZ
动画《镇魂街》主题曲
《骄傲的少年》42:01
动画《那年那兔那些事》第二季片尾曲

6.《如去年一样伤悲》47:00    旧北乐队7.《青山白云》50:14    戴荃
《大氿歌》54:21

8.《Let,s Disco》58:27      张蔷"
浙江共青团,保密,6,新年快乐！[2020]
孤独终殇,男,5,秒审核可还行
取名字太难了_-,保密,5,实话实说，第一次晚会办的很好，甚至超过了一些卫视
豪田表弟,男,4,⑧说了，明年还是看B站跨年比较实在，方锦龙那节目是真尼玛好看，无论是专业歌手还是UP主水平都很高，说实话出乎意料的好
JOSEIJI,保密,5,“唱的好音乐区，唱不好鬼畜区”笑死我了[喜极而泣][喜极而泣][喜极而泣]
小犬良,保密,5,b站虽然不是最富裕的晚会，但节目选择真的很年轻，热血，向上，审美好且多元。小破站正处在新一轮成长期，希望我们这群人不管几岁，都能在这个大家庭里互相包容着成长吧。2020加油！
小名叫羊驼,保密,5,广权哥 你手语老师呢[doge]
我就要一份肯德基,男,4,主要是要素过多，只要稍微逛过几次B站就能get到晚会的点，这根本不是什么卫视能做到的[妙啊]
1219丶筱锦鲤,保密,3,B站比很多卫视都办得好，全是大佬，艺术和文化的碰撞，有些卫视全是流量
生平不装无用哔,保密,5,还有365天就要跨年了，回想起上次跨年就好像发生在昨天一样，我按耐不住心中的喜悦，提前祝大家2021年牛年快乐
DARKTICE,男,5,"没有硬塞爱国情怀非常好，安排了一段咱们很熟悉的“红歌”部分，恰到好处，干净利落。
一群无时无刻不在期待着国漫崛起的朋友们，这样一群人的晚会还需要让他们动不动嘴里念叨两句爱国的话吗？不需要，一切尽在心中！
加油！奥利给！"
MLXC-OxO,女,4,"注意！！
这不是B站直播，是在跨年前录好的！！
因为这种类型是b站的一次大胆尝试，为了确保万无一失，提前录好，所以发的很迅速嗷！！
[打call][打call][打call]小破站nb！！！
大家新年快乐！！"
果冻麦克风,女,3,"洛天依：“大家好我是洛天依。”
哔站网友：“不，你是山新。”"
早点睡吧骚年,女,5,小破站晚会质量不但完爆各大卫视，并且是最有跨年气氛的晚会，举办的太成功了，极合我胃口
th_烟雨如花,保密,4,陌生人，新年快乐！
学嘛不好非要学医,保密,5,"以前小时候看春晚，最期待的总是小品。
“群英荟萃！”“树上七个猴~”“我拐呢？”
我到现在都能在脑子里完全模拟出来那个画面。可是不知道为什么，可能是我眼光变了，小品越来越让人难笑出来，经常看着小品前面还能扯出个笑然后马上就被煽情糊了一脸。
但即便如此，春晚最让我期待的还是小品和相声，再然后就是魔术，音乐和舞蹈总是在周围人的“欣赏水平一般欣赏不了这种高雅文化”嬉笑中似乎真的觉得，这太高雅，阳春白雪，我看不懂。
再后来其实我也看过不少舞蹈音乐视频，音乐剧也看了几部，也看过以前觉得总是欣赏不了的芭蕾，也让王亚彬老师的水袖一直在我屏幕摇曳整个下午。
原来也不是欣赏不了音乐舞蹈或者是以前觉得高雅的东西呀。
但是怀着这种心态看卫视节目总还是有种“我在欣赏艺术”的心情。
这次不一样。
我一点开就被一个个熟悉的脸庞带到了平时，闲暇时光会在我的屏幕上看到的亲切形象——我可能甚至不能完整说出来他们的名字，只会说“啊！那个鬼畜区最常见的谁谁谁(角色名）”或者听到声音突然抬头“我的天这不是每次进去弹幕都刷爆的镇站之宝吗？”
熟悉带来的认同感无可比拟。而且和熟悉的当红明星不大一样……总有种我家村头的二柱子上去表演了我得给他撑撑气势的感觉？(划掉划掉)
从直播中途开始看，看完我就顺着找到录播，从头开始看我错过的内容。越看越惊叹。
我没玩过开头的游戏，只是略有耳闻几句经典台词，即便如此开头的三段舞蹈还是让我感受到宏大热血和悲凉还有南柯一梦后的怅然若失，道具应该能称得上一句精致了，舞蹈音乐编排也毫不违和。
然后印象最深的是洛天依那场的绝美舞美，太强了，看的时候我就在想，很庆幸生在这个时代，能亲身经历科技爆炸带来的巨大变化，才能让我现在时刻赞叹科技的强大，用一种带着浓厚主观意味的想法揣测，未来人出生就在科技无比发达的世界，恐怕只能感受到科技发展的魅力而很难体会到我现在这种看着一项技术从无到有的激动了吧(扯远了……)
还有哈利波特那场表演的音乐和舞台配合，绝了。
看到有人说这场演出“接地气”。我深以为然。
可不是嘛，这位是昨天和团长惺惺相惜唱着锦鲤抄的楚云飞，那位是刚刚发完“awsl”的舞蹈区大美女，这边站着的是佩服一百遍的古筝大师，偏偏人家那么厉害又那么亲切，玩起梗来一点不含糊。
还有人说这是一次用心的视听盛宴。是啊，每分每秒和谐的舞台灯光和背景还有舞蹈音乐都明明白白显示出来背后工作人员的心血。"
詹青云的小迷妹,女,5,"我真的要吹爆小破站，太自豪了！
看得出来B站对这次的晚会只有一个主题，那就是包容性。作为一名98年，对所有的节目，都能get到它的情怀！

游戏、动画动漫、电影、流量、古风、演奏……以及军歌太硬核了，我竟然热血沸腾甚至想高歌国歌！当时弹幕满满的爱国语录十分感人！

突然想起以前看的那些跨年，我也算半个追星女孩儿吧，但对那些卫视的跨年除了“谁最火我就请谁”的明星之外，就没有其他的记忆点了。

它很潮流，很年轻，但除此之外，也没有其他想要展示出的了。

想表扬的节目太多了根本夸不过来，包括朱广权老师和陈超主持能力也很优秀！

有必要一题的是，淘宝的广告（魔术）确实很尬，但当我看到弹幕上的【猝不及防】和【下次一定】的时候，我头都要笑掉了！！"
云烟成雨---,男,5,真的不错  还是b站知道我们爱看什么
无名蜘蛛子,女,5,方锦龙老师是真的很顶！！
bili哔哩比利比例,保密,4,实话实说，这次晚会十分成功，它以独具一格的创造性，与时俱进的新颖性，新旧并呈，中西兼容的多样性，深入剖析年轻人的喜好，成功吸引了一大批年轻人，个人感觉不输卫视的晚会。哔哩哔哩，干杯！（破音）
起手冰箱的法爷,男,5,我觉得比所有卫视的跨年晚会都好……虽然录播确实占便宜，但节目起码是有内容的，现在的各卫士跨年，就是请一群明星营销瞎热闹，以前起码请的还都是会唱的歌星，现在只求热度，乱七八糟，属实难看。[无语]
小夭V,男,5,"十年了，小破站还在，五月天也还在，真好。不会说那么多动听的话，感动都在心里，
  谢谢小破站这么用心的晚会，祝B站越来越好，也祝每一位的新年愿望都会实现。笔芯[爱心][爱心][爱心]"
如家502,保密,4,哔哩哔哩到底是什么？只是一个普通的视频播放器吗？ 他很普通，只是给了每个人一个青春
