label,review
2,才五十一岁啊啊?????演员罗君左傍晚六时三十八分去世，终年51岁。
1,这个国家再对这些制造假冒伪劣食品药品的人手软的话，那后果真的会相当糟糕。坐牢？从快判个死刑得了。昨日，武汉东西湖一民房内专门制售“化学酒”的窝点被工商部门端掉，现场查扣2640瓶假冒白酒、1万套包装盒、2万个商标标识及3台制假设备和大量废旧空瓶，足足装了3卡车。这些白酒都是用“不宜直接饮用”的食品添加剂，加上食用酒精和自来水勾兑而成的。
0,4關 注我的个唱海报大图集明天会在各大网站抛出，敬请关注
0,奇迹啊。最牛的卧铺车厢
0,看妙处，少女江边洗衣裳，沙滩妪 童晒苕干。江横小舟客争渡，老翁搬石垒梯田。少妇背孺 挖红薯，壮汉犁地挥响鞭。顺流舟出龙门峡，人游画中溢诗篇。宁江秋意胜春色，红叶翠竹满青山
0,《没关系爸爸的女儿》在仅仅播了一集后，就成了百度最热贴吧的第8名，V5 啊！
3,我们还能相信谁？7月14日香港媒体《壹周刊》一篇名为《霸王致癌》报道称，霸王旗下的多款中草药洗发产品，经过香港公证所化验后，均含有被美国列为致癌物质的二恶烷。当日，霸王国际一度放量大跌18%，并于下午2时30分暂停买卖。
0,"超期待一峰二汶的小紅 館 ,你準 備 好未????"
3,此次上海的美食品尝活动，特别增设了一个名额，谢谢大家的支持阿
0,四姑娘的照片永远都不乏亮点~ 膜拜真相帝
2,网络和电脑不给力，一到关键时刻就会卡掉...........李宇春的非常说名20点北京科教频道
0,无我被你的大片SHOCK 到了呀，乃还真是奇葩，做什么像什么。继与林志玲姐姐上快乐大本营后，又携手张雨绮。话说，你比娱乐圈的多数男明星都更称她们呀！
0,。夏日炎炎，清凉多汁的西瓜绝对是消暑佳品，原来西瓜不只消暑，还可以像治阳痿药“伟哥”一样，有纾 缓血管压力的功效，甚至可刺激性欲，但不可以多吃哦~ ~
3,闲着没事儿把GG 第四季看了，真是手贱啊我，还有没有比这更狗血的了？恩？？我还要继续追么？恩？？
0,回复谢谢，好人会有好报的，呵呵，天凉了，你也多注意身体哈。挺住啊。早日康复！【12年轮回-7】虽然办理了休学手续，戴天啸仍不愿回家。自从委托大伯戴振民帮忙办理兵役登记后，戴天啸就一直在同学家寄居。闲来无事，戴天啸拿出曾与暗恋女生墨子涵用诗歌共同书写的懵懂日记打发时光。圆珠笔部分，是戴天啸写的，字体刚劲有力，字里行间透露着对于爱情的憧憬和向往。
0,吉利收购沃尔沃！西方某些人的心里又要不平衡了！等着瞧，中国会有更多的收购行动…道理很简单：中国是18岁的小伙子；西方大国是过了65岁该退休的老人
0,"我觉得吧。。。语言什么的。。。还是应该常听常说。人帅声也不赖好好听的声音"" o ((> ω < ))o "" 声音非常非常好听这个。。大半夜允许冷兔花痴一下吧。。"
0,"找到什么是你最真正在乎的工作了吗？"" 将精力投入于真正在乎的工作。"" ......JK 罗琳: 失败意味着剥光所有无关紧要的东西。我失败后，我不再假装我是某种其实我不是的人，而开始将我的精力投入于我真正在乎的工作。人生的谷底，变成我重建人生的坚实基石。所以不要畏惧失败；只要活着就必然要面对失败，除非你小心翼翼到仿佛一生都没有活过。如果这样，你的失败将来自于放弃生活"
0,哈哈哈。。。和我的名字“Leaves ”异曲同工呢。。。Leave .
1,呦，宾馆的空调在吓我耶~ ~ 好像还真被吓到了空调啊~ 空调，你滴滴咚咚的在响什么，不会钻出个老鼠来吧~ ~ 惊悚 ~ ~
0,不错，试试新浪微博客户端大家赶紧抢先试用啊。必顶！可能刚开始给大家的印象不太好，所以都不爱用了，现在已经改进了很多，推荐大家再试试。尤其是气泡提示功能，很方便，不会让你错过一条重要的消息，实乃上网、看电影、聊扣扣、打怪兽、居家娱乐之最佳伴侣！
0,把小孩儿都吓着了。伪娘伪到这份儿上也相当可以了。
0,對 說 ：我來 了，關 注你了，呵呵，點 先？？？
0,那个开水房也很God 我的香水不见了！你们快帮着找找啊！众人：你还用香水？？啥牌子的？？舍长：SIX GOD 啊，我只用那个。众人：牛逼啊，没听过啊，啥样子啊？.舍长：六神花露水，你们谁拿了？！(投稿)
0,卡特琳·施密特，自由职业作家。2002年夏，施密特突发脑溢血，她挣扎着爬到丈夫身边说：我要死了。丈夫回答：你不会死。七年后这句话成了她的新书书名。长篇小说《你不会死》击败2009年诺贝尔文学奖得主赫塔·米勒，荣获该年度德国图书奖。卡特琳·施密特说：小说并非隐喻民主德国的消亡。
0,无语~ ~ ~ ~ ~ ~ 我彻底笑hi 死了故技重施...结果还是一样...这又会让悲剧重演9月９日，菲律宾国家警察特别行动部队举行人质营救演习．
1,你隔壁应该是我家我现在很吵哈哈哈天哪!!隔壁房吵死了~ 能不能安靜 點
0,玩大富翁。我终于知道炒股是怎么一档子事儿了。
2,"有人欺负我~ 我想念东软,想念109~"
3,我想要回家吃饭！
1,我勒个去，以为我回厦坪了，打电话叫我去散步，我真想回家阿
0,"人生苦短,必須 性感。人生苦短。必须性感。"
0,哎呀呀YYeTs 都开始翻译Yale 的开放课程啦，我这么热爱学习的女青年，这不是不让我活么？
0,累了就毫不犹豫的休息了就算累了，也是一时而已，翅膀下总有风在为你承托着（攝 於山西大同）
1,今天终于做完了几件重要的事儿。心里提着的一口气放下了。。。（画外音：我没气了?）
0,你咋劲说实话哪：））官越大的领导电脑越容易坏
0,小姬姐你的气场果然很强大啊~ 都吸引来了外星人，还是这么可爱的外星人刚才MSN 上有外星人弹出来跟我说话。这是真的，绝对不是我编的。
0,赵导期待你滴大片，你拍滴照都灰常有敢脚
0,男人积其一生的高潮，不过16小时……一个能活到78岁的成年男人，性高潮的总时间是16小时，平均到每天是2.02秒。所以，多找找别的乐子吧
1,不是哥哥先把哥哥拐走的么！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈XDDD 腹黑眼睛攻酥死了！哎呦喂！这个太给力了！哈哈哈哈~ SA 版《还个哥哥给你》点击原图观看顺序→先【左边整列】后【右边整一列】不好意思重新发个，前面那张多打了个字……
