label,review,length,positive,negative,anger,disgust,fear,sadness,surprise,good,happy
3,回复唉....我想不明白為 啥花總 是插在糞 上的！雖 然卟 灰?~ 善良優 ?,34,1,0,0,0,0,0,0,1,0
0,~ 今晚10点有个小活动需要现场报道··又到了我上战场的时候啦···这次一定要化妆··哈哈哈哈哈··万一再碰见谁··绝不能再素面朝天的跟耀眼星星拍照了···但是我最近一直都没睡好···眼睛很难受··哎··希望不要出什么毛病吧····好久没带哈尼出去玩了~ 晒张靓 照怀念一下吧~,96,3,3,0,2,0,2,0,2,1
0,【中朝将首次合拍电影纪念志愿军参战60周年】应朝鲜电影委员会邀请，由李水合带领的中方合拍工作组访问了朝鲜。据中国驻朝鲜大使馆网站消息，为纪念中国人民志愿军入朝参战60周年，中朝两国的电影工作者将首次合拍电影，歌颂伟大的中朝友谊。图中方工作组与金成柱小学联欢。【请正日当导演吧】,77,4,3,0,0,0,3,0,3,1
1,我真的变憔悴了?这个星期将是一个很忙的星期` `,17,0,1,0,0,0,1,0,0,0
0,拍摄顺利，大卖大卖《人人》这个项目我从年前跟到6月份，可是因为某些原因易主他人。就像是把自己的孩子送给他人，心中不舍却还是希望他健康成长~ ！祝《人人》拍摄顺利，大卖~ ！,55,3,0,0,0,0,0,0,1,2
1,回复半小时的节目，全都是介绍养生保健的小诀窍挺晚得放多久啊今晚10点05分新闻综合频道我的新节目《乐活密码》播出啦，有小周立波的表演，还有减肥的绝招免费传授，你相信把针埋在体内可以减肥吗？我可是亲身体验的,66,2,0,0,0,0,0,0,2,0
0,实用！可以参考参考！绝对值得参考，需要的朋友记得收藏啊。。。,19,2,0,0,0,0,0,0,2,0
1,万事开头难吖,2,0,0,0,0,0,0,0,0,0
0,【好有爱的情侣装你看出玄机了吗？】超有爱的情侣装+亲子装，你看出这里面的玄机了吗？,29,0,0,0,0,0,0,0,0,0
0,真逗笑死我了！喝着水看到一分半，几乎喷了～CCAV 挑战屁民智商经典之作...坚持到1分半有惊喜...,30,2,0,0,0,0,0,0,1,1
0,没吐他脸上？...什么是TY 啊？呕卖糕滴原来TY 上的帖不是在瞎吹···健身房那些一块块肌肉背后是赤裸裸的XX 交易。除了健身会所外，帅气哥你说的地方我都没去过……,54,2,4,0,4,0,0,1,1,0
0,庚想问你一个问题为啥米你一空闲下来就穿人字拖一上节目就靴子啊能不能给解释一下呵呵今天的工作马上开始了，加油,33,1,0,0,0,0,0,0,0,1
3,沉默是金一起沉默的吧,5,0,0,0,0,0,0,0,0,0
2,回复我也很期待看那场分手戏，沫 沫 决绝而狠心，还有少爷绝望的眼神，虐啊···汗，反正我已经做好了抱头，和随时弃坑的思想准备。呃，题材比较暗，口味比较重……跑题了，话说今晚应该会有樱花树下分手的那场戏吧，很期待，那场是我写泡沫这个故事的原动力之一。星期日泡沫日給 歐 辰一個 「 大」 驚 喜,104,1,2,0,1,0,1,0,1,0
0,【中国蓝速递】频道声也出糗 了！这是我从事这个行业以来最WeiSuo 的出镜画面，也是我来集团以来，上我的字幕唯一打错的一次！请从2分06秒开始观看我的惨烈的冲关！为了下一代，我们要冲关！,64,0,1,0,0,1,0,0,0,0
3,快要下雨了。。。你那里呢。。。其实我想问的是。。你带伞了么。。。,28,1,0,0,0,0,0,0,1,0
0,偷西瓜……V5 哇··撒花恭喜！一亿台啦，偷西瓜V5 ，亚麻V5 ＊＊1亿台达成。儿子你等着，娘这台本本坏了就换偷西瓜~ TOSHIBA 「 1?,52,1,0,0,0,0,0,0,0,1
0,谢谢！“你老了，我拿什么给你盛饭啊？”妈妈顿时楞在那里。,21,0,0,0,0,0,0,0,0,0
0,回复只知道玛雅的末日三天黑暗的预言...那就三天吧，三天光明希望这样的经历还是不经历的好，但忧患意识必须要得，不经历不见得没经历，把每一天当作生命的最后一天度过，不想不会不珍惜,54,3,3,0,2,0,1,0,3,0
