year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,211212.0,99038.0,83785.0,27106.0,16426.0,65686.0,27034.0,34582.0,150233.0,600306.0,455590.0,207428.0,166610.0,86001.0,231585.0,154381.0,124535.0,94503.0,793819.0,44224.0,6451.0,72121.0,152987.0,44508.0,36515.0,1469.0,76512.0,27882.0,4439.0,9860.0,14647.0
2017,185928.0,86996.0,61288.0,20697.0,11701.0,49871.0,20450.0,30958.0,131740.0,514402.0,377115.0,175872.0,128079.0,70591.0,204859.0,119240.0,110234.0,77934.0,627834.0,56988.0,4564.0,64648.0,167484.0,34610.0,28695.0,1097.0,98935.0,24448.0,3181.0,8575.0,14260.0
2016,189129.0,106514.0,54838.0,20031.0,10672.0,52603.0,18922.0,35293.0,119937.0,512429.0,393147.0,172552.0,130376.0,60494.0,212911.0,94669.0,95157.0,67779.0,505667.0,59239.0,3658.0,59518.0,142522.0,25315.0,23709.0,712.0,69611.0,20276.0,3284.0,6149.0,14105.0
2015,156312.0,79963.0,44060.0,14948.0,8876.0,42153.0,14800.0,34611.0,100006.0,428337.0,307264.0,127709.0,83146.0,36936.0,193220.0,74373.0,74240.0,54501.0,355939.0,43696.0,3127.0,82791.0,110746.0,18295.0,17603.0,309.0,74904.0,14584.0,2590.0,4394.0,12250.0
2014,138111.0,63422.0,30000.0,15687.0,6359.0,37860.0,11933.0,31856.0,81664.0,421907.0,261435.0,99160.0,58075.0,25594.0,158619.0,62434.0,59050.0,44194.0,278358.0,32298.0,2416.0,55298.0,91167.0,22467.0,13343.0,248.0,56235.0,12020.0,1534.0,3532.0,10210.0
2013,123336.0,60915.0,27619.0,18859.0,6388.0,45996.0,10751.0,32264.0,86450.0,504500.0,294014.0,93353.0,53701.0,16938.0,155170.0,55920.0,50816.0,41336.0,264265.0,23251.0,2359.0,49036.0,82453.0,17405.0,11512.0,203.0,57287.0,10976.0,1099.0,3230.0,8224.0
2012,92305.0,41009.0,23241.0,16786.0,4732.0,41152.0,9171.0,30610.0,82682.0,472656.0,249373.0,74888.0,42773.0,12458.0,128614.0,43442.0,51316.0,35709.0,229514.0,13610.0,1824.0,38924.0,66312.0,11296.0,9260.0,170.0,43608.0,8261.0,844.0,1985.0,7044.0
2011,77955.0,38489.0,17595.0,12769.0,3841.0,37102.0,8196.0,23432.0,80215.0,348381.0,177066.0,48556.0,32325.0,9673.0,109599.0,34076.0,42510.0,29516.0,196272.0,8106.0,1489.0,32039.0,49734.0,8351.0,7150.0,263.0,32227.0,5287.0,732.0,1079.0,4736.0
2010,57296.0,25973.0,12295.0,7927.0,2912.0,34216.0,6445.0,10269.0,71196.0,235873.0,120742.0,47128.0,21994.0,6307.0,80856.0,25149.0,31311.0,22381.0,152907.0,5117.0,1019.0,22825.0,40230.0,4414.0,5645.0,162.0,22949.0,3558.0,602.0,739.0,3560.0
2009,50236.0,19624.0,11361.0,6822.0,2484.0,25803.0,5934.0,9014.0,62241.0,174329.0,108482.0,16386.0,17559.0,5224.0,66857.0,19589.0,27206.0,15948.0,125673.0,4277.0,1040.0,13482.0,33047.0,3709.0,4633.0,195.0,15570.0,2676.0,499.0,1277.0,2872.0
2008,43508.0,18230.0,9128.0,5386.0,2221.0,20893.0,5536.0,7974.0,52835.0,128002.0,89931.0,10409.0,13181.0,3746.0,60247.0,19090.0,21147.0,14016.0,103883.0,3884.0,873.0,8324.0,24335.0,2943.0,4089.0,350.0,11898.0,2178.0,431.0,1087.0,2412.0
2007,31680.0,15744.0,7853.0,3333.0,2015.0,19518.0,5251.0,7242.0,47205.0,88950.0,68933.0,6070.0,11341.0,3548.0,46849.0,14916.0,17376.0,11233.0,102449.0,3480.0,632.0,6715.0,19165.0,2759.0,3108.0,97.0,8499.0,1608.0,387.0,838.0,2270.0
2006,26555.0,13299.0,7220.0,2824.0,1946.0,17052.0,4578.0,6535.0,36042.0,53267.0,52980.0,4679.0,10351.0,3171.0,38284.0,11538.0,14576.0,10249.0,90886.0,2784.0,538.0,6471.0,13109.0,2674.0,3085.0,89.0,5717.0,1460.0,325.0,671.0,2256.0
2005,22572.0,11657.0,6401.0,1985.0,1455.0,15672.0,4101.0,6050.0,32741.0,34811.0,43221.0,3516.0,9460.0,2815.0,28835.0,8981.0,11534.0,8763.0,72220.0,2379.0,498.0,6260.0,10567.0,2226.0,2556.0,102.0,4166.0,1759.0,216.0,516.0,1851.0
2004,18402.0,8406.0,5647.0,1949.0,1457.0,14695.0,3657.0,4919.0,20471.0,23532.0,25294.0,2943.0,7498.0,2685.0,18388.0,6318.0,7960.0,7693.0,52201.0,2202.0,375.0,5171.0,7260.0,1486.0,2132.0,62.0,3217.0,910.0,124.0,399.0,1492.0
2003,17003.0,6812.0,5623.0,1743.0,1393.0,13545.0,4267.0,4972.0,22374.0,18393.0,21463.0,2676.0,7236.0,2434.0,15794.0,5261.0,6635.0,6054.0,43186.0,2250.0,445.0,4589.0,7443.0,1242.0,1966.0,24.0,3421.0,961.0,173.0,441.0,1473.0
2002,13842.0,5360.0,5390.0,1630.0,1202.0,9851.0,3413.0,4392.0,19970.0,13075.0,17265.0,2312.0,6522.0,2037.0,12856.0,4441.0,4960.0,4859.0,34352.0,1927.0,546.0,3142.0,5997.0,1260.0,1780.0,15.0,2530.0,781.0,151.0,503.0,1239.0
2001,12174.0,3081.0,4695.0,1473.0,1087.0,7514.0,2627.0,3670.0,12777.0,10352.0,12828.0,2045.0,4971.0,1778.0,11170.0,4093.0,4322.0,4292.0,27596.0,1838.0,390.0,2047.0,5039.0,950.0,1793.0,23.0,2326.0,734.0,162.0,412.0,1086.0
2000,10344.0,2789.0,3848.0,1475.0,1138.0,7151.0,2501.0,3106.0,11337.0,8211.0,10316.0,1877.0,4211.0,1557.0,10019.0,3823.0,3486.0,4117.0,21123.0,1762.0,502.0,1780.0,4496.0,986.0,1710.0,28.0,2080.0,798.0,174.0,341.0,1088.0
