year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2019,2154.0,1562.0,7592.0,3729.0,2540.0,4352.0,2691.0,3751.0,2428.0,8070.0,5850.0,6366.0,3973.0,4666.0,10070.0,9640.0,5927.0,6918.0,11521.0,4960.0,945.0,3124.0,8375.0,3623.0,4858.0,351.0,3876.0,2647.0,608.0,695.0,2523.0
2018,2154.0,1560.0,7556.0,3718.0,2534.0,4359.0,2704.0,3773.0,2424.0,8051.0,5737.0,6324.0,3941.0,4648.0,10047.0,9605.0,5917.0,6899.0,11346.0,4926.0,934.0,3102.0,8341.0,3600.0,4830.0,344.0,3864.0,2637.0,603.0,688.0,2487.0
2017,2171.0,1557.0,7520.0,3702.0,2529.0,4369.0,2717.0,3789.0,2418.0,8029.0,5657.0,6255.0,3911.0,4622.0,10006.0,9559.0,5902.0,6860.0,11169.0,4885.0,926.0,3075.0,8302.0,3580.0,4801.0,337.0,3835.0,2626.0,598.0,682.0,2445.0
2016,2173.0,1562.0,7470.0,3682.0,2520.0,4378.0,2733.0,3799.0,2420.0,7999.0,5590.0,6196.0,3874.0,4592.0,9947.0,9532.0,5885.0,6822.0,10999.0,4838.0,917.0,3048.0,8262.0,3555.0,4771.0,331.0,3813.0,2610.0,593.0,675.0,2398.0
2015,2171.0,1547.0,7425.0,3664.0,2511.0,4382.0,2753.0,3812.0,2415.0,7976.0,5539.0,6144.0,3839.0,4566.0,9847.0,9480.0,5852.0,6783.0,10849.0,4796.0,911.0,3017.0,8204.0,3530.0,4742.0,324.0,3793.0,2600.0,588.0,668.0,2360.0
2014,2152.0,1517.0,7384.0,3648.0,2505.0,4391.0,2752.0,3833.0,2426.0,7960.0,5508.0,6083.0,3806.0,4542.0,9789.0,9436.0,5816.0,6737.0,10724.0,4754.0,903.0,2991.0,8140.0,3508.0,4714.0,318.0,3775.0,2591.0,583.0,662.0,2298.0
2013,2115.0,1472.0,7333.0,3630.0,2498.0,4390.0,2751.0,3835.0,2415.0,7939.0,5498.0,6030.0,3774.0,4522.0,9733.0,9413.0,5799.0,6691.0,10644.0,4719.0,895.0,2970.0,8107.0,3502.0,4687.0,312.0,3764.0,2582.0,578.0,654.0,2264.0
2012,2069.0,1413.0,7288.0,3611.0,2490.0,4389.0,2750.0,3834.0,2380.0,7920.0,5477.0,5988.0,3748.0,4504.0,9685.0,9406.0,5779.0,6639.0,10594.0,4682.0,887.0,2945.0,8076.0,3484.0,4659.0,308.0,3753.0,2578.0,573.0,647.0,2233.0
2011,2019.0,1355.0,7241.0,3593.0,2482.0,4383.0,2749.0,3834.0,2347.0,7899.0,5463.0,5968.0,3720.0,4488.0,9637.0,9388.0,5758.0,6596.0,10505.0,4645.0,877.0,2919.0,8050.0,3469.0,4631.0,303.0,3743.0,2564.0,568.0,639.0,2209.0
2010,1962.0,1299.0,7194.0,3574.0,2472.0,4375.0,2747.0,3833.0,2303.0,7869.0,5447.0,5957.0,3693.0,4462.0,9588.0,9405.0,5728.0,6570.0,10441.0,4610.0,869.0,2885.0,8045.0,3479.0,4602.0,300.0,3735.0,2560.0,563.0,633.0,2185.0
