year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12512746.0,5850624.0,15938479.0,8533662.0,7601337.0,9651893.0,6586685.0,7545432.0,12104556.0,25960645.0,21327866.0,13751567.0,11390975.0,11717849.0,23946021.0,21546749.0,13821834.0,15165690.0,38610331.0,11891781.0,3390271.0,9483526.0,19274514.0,12488005.0,13292088.0,2387658.0,10545862.0,7087547.0,2343469.0,2288400.0,8462090.0
2016,11934724.0,5365129.0,14203834.0,7942196.0,7624806.0,9206907.0,6439837.0,7336607.0,11218946.0,24020855.0,18908104.0,12357931.0,10473975.0,10468837.0,22422970.0,18902582.0,13009264.0,13781959.0,33675376.0,10914241.0,3068767.0,8863208.0,17620946.0,10335342.0,11886446.0,1857714.0,10049114.0,6706137.0,2162973.0,2072544.0,7823914.0
2015,11171250.0,5605736.0,12861641.0,8442363.0,7072130.0,8781171.0,5975239.0,7040039.0,10131153.0,22463773.0,17568215.0,11578495.0,10028329.0,9732898.0,20632259.0,17411099.0,11435059.0,12223238.0,30474906.0,10111559.0,2809962.0,7971003.0,16409562.0,9277347.0,10455388.0,1919434.0,9674438.0,6134547.0,2073501.0,1963258.0,7132774.0
2014,10937374.0,6326265.0,10861672.0,7036233.0,6393778.0,8700533.0,5353180.0,6278812.0,9892212.0,20800931.0,16079755.0,10457811.0,8928771.0,8930127.0,18847752.0,16385611.0,9874547.0,11285463.0,27356552.0,8586224.0,2413904.0,6979973.0,14508458.0,7700061.0,9199396.0,1529504.0,9101672.0,5181631.0,1976886.0,1697964.0,6349792.0
2013,9998366.0,5699615.0,10298143.0,6918247.0,6121559.0,9302062.0,5480347.0,6006258.0,9069715.0,19862835.0,14490439.0,10413043.0,8228012.0,8284996.0,17796161.0,15577127.0,8972278.0,10784551.0,24775503.0,7794191.0,2222868.0,6565622.0,13805525.0,6799795.0,9006912.0,1206744.0,8926920.0,4811034.0,1569408.0,1578935.0,5989856.0
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7373843.0,4136097.0,8447882.0,5494903.0,5040005.0,7809413.0,4293877.0,4838173.0,7106255.0,15882132.0,12069078.0,8172010.0,6344839.0,6307866.0,13727939.0,11821418.0,6844038.0,7987607.0,18846365.0,5938482.0,1732237.0,5039550.0,10244130.0,4510531.0,6582935.0,826102.0,6838342.0,3608174.0,1552462.0,1313862.0,4605867.0
2010,6134448.0,2920970.0,7192734.0,4508195.0,4143731.0,6242615.0,3445611.0,4048565.0,5582736.0,13146233.0,10625688.0,5990868.0,5341118.0,4494597.0,10395900.0,9111164.0,5869164.0,6497608.0,15327348.0,4941416.0,1422673.0,4068437.0,8951781.0,3669550.0,5336317.0,662293.0,5143635.0,3106736.0,1062206.0,994671.0,3655998.0
2009,5289432.0,2381672.0,6145261.0,3809096.0,3187733.0,5349184.0,3006988.0,3486163.0,4937339.0,11054890.0,8911507.0,4873316.0,4479126.0,3776516.0,8397429.0,7633496.0,5194495.0,5660684.0,12843085.0,3873253.0,1175474.0,3309977.0,8088479.0,3094113.0,4408081.0,597448.0,4637457.0,2761110.0,785820.0,813071.0,2959264.0
2008,4690166.0,2060843.0,5584914.0,3328404.0,2625527.0,4792311.0,2714195.0,3386551.0,4823026.0,9964272.0,7972834.0,4383732.0,3898541.0,3333171.0,7749148.0,6561523.0,4519593.0,5066050.0,11661554.0,3476223.0,928981.0,2662580.0,6578338.0,2709138.0,3422932.0,494122.0,3806168.0,2310200.0,608034.0,702612.0,2501661.0
2007,4077284.0,1657108.0,4403700.0,2649876.0,2019987.0,4122455.0,2133095.0,2736590.0,4318320.0,8513327.0,7058575.0,3451326.0,3322233.0,2850048.0,6802414.0,5493997.0,3689008.0,4196365.0,10734751.0,2758915.0,757981.0,2309734.0,5009787.0,2070113.0,2757505.0,420562.0,2855270.0,1672565.0,458238.0,636974.0,1916673.0
2006,3374329.0,1428992.0,3554401.0,2198470.0,1480999.0,3282283.0,1724213.0,2230540.0,3707275.0,6845888.0,6315051.0,2775700.0,2771266.0,2213618.0,5471049.0,4179475.0,2904962.0,3338525.0,8654359.0,2134365.0,558645.0,1681572.0,3654194.0,1549737.0,2311083.0,276921.0,2288723.0,1321480.0,373988.0,398718.0,1532703.0
