year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,52912.0,38975.0,15893.0,18132.0,23909.0,24866.0,15083.0,18859.0,53617.0,39796.0,33851.0,17141.0,25969.0,17290.0,28353.0,17842.0,21642.0,19418.0,30762.0,16064.0,20939.0,22927.0,17920.0,16349.0,15831.0,10990.0,18485.0,14203.0,18020.0,21058.0,16736.0
2016,48883.0,36257.0,14328.0,15065.0,22293.0,23670.0,13786.0,17393.0,49617.0,35875.0,30743.0,15466.0,23355.0,16040.0,25860.0,16043.0,19391.0,17490.0,28495.0,15013.0,18431.0,21032.0,16013.0,14666.0,14534.0,9743.0,16657.0,13086.0,16751.0,18570.0,15247.0
2015,39200.0,32595.0,12829.0,14364.0,20835.0,23693.0,14630.0,16443.0,45816.0,31682.0,28712.0,13941.0,20828.0,14489.0,20684.0,14507.0,17429.0,16289.0,26365.0,13857.0,17019.0,18860.0,14774.0,12876.0,13401.0,8756.0,15363.0,11868.0,15167.0,17210.0,13684.0
2014,36057.0,28492.0,12171.0,12622.0,19827.0,22260.0,13663.0,15215.0,43007.0,28316.0,26885.0,12944.0,19099.0,12000.0,19184.0,13078.0,15762.0,14384.0,24582.0,12944.0,12915.0,17262.0,13755.0,11362.0,12235.0,7205.0,14812.0,10678.0,13534.0,15193.0,12435.0
2013,33337.0,26261.0,11557.0,12078.0,17168.0,20156.0,13676.0,12978.0,39223.0,23585.0,24771.0,11618.0,17115.0,11910.0,16728.0,11782.0,13912.0,12920.0,23739.0,11710.0,11712.0,15423.0,12485.0,9541.0,11224.0,6275.0,13206.0,9616.0,12070.0,13537.0,11401.0
2012,30350.0,22984.0,10749.0,10829.0,15196.0,17999.0,12276.0,11601.0,36893.0,19452.0,22845.0,10978.0,16144.0,10573.0,15095.0,10380.0,12283.0,11740.0,21823.0,10519.0,10634.0,13655.0,11280.0,8372.0,9782.0,5340.0,11852.0,8542.0,10289.0,12120.0,10675.0
2011,27760.0,20624.0,9551.0,9746.0,13264.0,15635.0,10811.0,10634.0,35439.0,17167.0,21346.0,10055.0,14958.0,9523.0,13524.0,9171.0,10873.0,10547.0,19578.0,9181.0,9238.0,11832.0,9903.0,7389.0,8278.0,4730.0,10053.0,7493.0,8744.0,10937.0,8895.0
2010,24982.0,17852.0,8057.0,8447.0,10925.0,13016.0,9241.0,9121.0,32271.0,14035.0,18274.0,8237.0,13187.0,7989.0,11606.0,7837.0,8977.0,8922.0,17211.0,7920.0,7553.0,9723.0,8182.0,6218.0,6811.0,4469.0,8474.0,6234.0,7326.0,8992.0,7400.0
2009,22023.0,15200.0,7193.0,6854.0,9460.0,10906.0,8538.0,7922.0,26582.0,11993.0,15867.0,6829.0,11336.0,6212.0,10494.0,6607.0,7791.0,7929.0,15243.0,6968.0,6695.0,8494.0,6863.0,5456.0,5976.0,3985.0,7154.0,5509.0,6501.0,7918.0,5945.0
2008,20113.0,14150.0,6498.0,6519.0,8354.0,9690.0,7629.0,7135.0,25167.0,10882.0,14264.0,6006.0,10645.0,5805.0,9673.0,5877.0,7399.0,7152.0,13911.0,6152.0,6134.0,7637.0,6072.0,4880.0,5465.0,3460.0,6483.0,4947.0,5830.0,7108.0,5521.0
2007,18553.0,12034.0,5667.0,5693.0,7062.0,7934.0,6675.0,6037.0,22889.0,9530.0,12730.0,5276.0,8943.0,4676.0,8142.0,5141.0,6513.0,6254.0,12336.0,5114.0,5630.0,6453.0,5259.0,4263.0,4658.0,3166.0,5480.0,4298.0,4978.0,5743.0,4831.0
2006,16487.0,10609.0,4924.0,4883.0,5746.0,6926.0,5710.0,5141.0,20022.0,8182.0,11099.0,4409.0,7971.0,4117.0,7064.0,4530.0,5480.0,5508.0,10619.0,4280.0,4819.0,5323.0,4501.0,3797.0,4172.0,2877.0,4742.0,3810.0,4229.0,5070.0,4151.0
2005,14662.0,9504.0,4270.0,4172.0,4967.0,6447.0,5191.0,4822.0,17894.0,7066.0,9558.0,3870.0,6793.0,3821.0,5916.0,4092.0,4883.0,4952.0,9799.0,3899.0,4165.0,4702.0,4130.0,3256.0,3844.0,2990.0,4182.0,3453.0,3888.0,4469.0,3814.0
2004,13425.0,8621.0,3758.0,3676.0,4042.0,5492.0,4601.0,4212.0,15937.0,5913.0,8174.0,3707.0,6144.0,3353.0,4924.0,3625.0,4309.0,4355.0,8800.0,3341.0,3847.0,4155.0,3656.0,2723.0,3315.0,3139.0,3733.0,3016.0,3443.0,3873.0,3445.0
