year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2019,5817.1,2410.25,3742.67,2347.56,2059.74,2651.96,1116.86,1262.64,7165.1,8802.36,7048.0,3182.54,3052.72,2486.51,6526.64,4041.6,3388.39,3006.99,12651.46,1811.89,814.13,2134.88,4070.69,1767.36,2073.53,222.0,2287.73,850.23,282.14,423.55,1577.6
2018,5785.92,2106.24,3513.86,2292.7,1857.65,2616.08,1240.89,1282.6,7108.15,8630.16,6598.21,3048.67,3007.41,2373.01,6485.4,3766.02,3307.08,2860.84,12105.26,1681.45,752.67,2265.54,3911.01,1726.85,1994.35,230.35,2243.14,871.05,272.89,436.52,1531.42
2017,5430.79,2310.36,3233.83,1867.0,1703.21,2392.77,1210.91,1243.31,6642.26,8171.53,5804.38,2812.45,2809.03,2247.06,6098.63,3407.22,3248.32,2757.82,11320.35,1615.13,674.11,2252.38,3577.99,1613.84,1886.17,185.83,2006.69,815.73,246.2,417.59,1466.52
2016,5081.26,2723.5,2849.87,1557.0,2016.43,2200.49,1263.78,1148.41,6406.13,8121.23,5301.98,2672.79,2654.83,2151.47,5860.18,3153.47,3102.06,2697.88,10390.35,1556.27,637.51,2227.91,3388.85,1561.34,1812.29,155.99,1833.99,786.97,238.51,387.66,1298.95
2015,4723.86,2667.11,2649.18,1642.35,1964.48,2127.39,1229.35,1165.88,5519.5,8028.59,4809.94,2454.3,2544.24,2165.74,5529.33,3016.05,3005.53,2515.43,9366.78,1515.16,627.7,2154.83,3355.44,1503.38,1808.1,137.13,2059.95,743.86,267.13,373.4,1330.9
2014,4027.16,2390.35,2446.62,1820.64,1843.67,3192.78,1203.38,1301.31,4585.55,7233.14,4122.02,2218.44,2362.21,1881.83,5026.83,2739.26,2566.9,2262.79,8065.08,1422.28,555.31,1922.02,3061.07,1366.67,1698.06,124.27,1890.4,672.67,251.68,339.86,1282.34
2013,3661.11,2079.07,2295.62,1701.62,1720.98,3343.81,1156.96,1277.4,4109.51,6568.46,3796.92,2075.08,2119.45,1621.24,4559.95,2415.45,2191.22,2030.88,7081.47,1317.6,481.01,1693.24,2784.1,1206.41,1611.3,95.02,1748.33,607.27,223.86,308.34,1128.49
2012,3314.93,1760.02,2084.28,1516.38,1552.75,3105.38,1041.25,1163.17,3743.71,5860.69,3441.23,1792.72,1776.17,1371.99,4059.43,2040.33,1823.05,1782.16,6229.18,1166.06,409.44,1703.49,2421.27,1014.05,1338.15,86.58,1600.69,520.4,186.42,263.96,908.97
2011,3006.28,1455.13,1737.77,1213.43,1356.67,2643.15,850.1,997.55,3429.83,5148.91,3150.8,1463.56,1501.51,1053.43,3455.93,1721.76,1526.91,1517.07,5514.84,947.72,340.12,1488.33,2044.79,773.08,1111.16,54.76,1500.18,450.12,151.81,219.98,720.43
2010,2353.93,1068.81,1331.85,969.67,1069.98,2004.84,602.41,755.58,2873.58,4079.86,2608.47,1149.4,1151.49,778.09,2749.38,1381.32,1011.23,1081.69,4517.04,771.99,270.99,952.07,1561.67,533.73,871.19,36.65,958.21,353.58,110.22,153.55,500.58
2009,2026.81,821.99,1067.12,805.83,850.86,1591.22,487.09,641.66,2540.3,3228.78,2142.51,863.92,932.43,581.3,2198.63,1126.06,814.87,847.62,3649.81,620.99,178.24,655.17,1174.59,416.48,698.25,30.09,735.27,286.59,87.74,111.58,388.78
2008,1837.32,675.62,947.59,748.0,650.68,1356.08,422.8,578.28,2358.75,2731.41,1933.39,724.62,833.4,488.65,1957.05,1008.9,710.85,722.71,3310.32,518.42,144.86,577.57,1041.66,347.84,614.05,24.88,591.48,264.97,71.57,95.01,361.06
2007,1492.64,540.44,789.12,597.89,492.36,1082.69,320.69,440.47,2074.48,2237.73,1649.5,543.7,699.46,389.85,1675.4,862.08,590.36,606.55,2785.8,418.83,108.29,442.7,850.86,285.14,486.71,20.14,475.24,190.91,56.71,80.03,285.86
2006,1117.15,417.05,620.53,583.38,343.38,817.67,245.2,386.84,1576.07,1656.68,1298.2,428.03,541.17,305.52,1356.25,679.17,476.08,477.93,2179.46,342.58,81.81,317.72,607.59,226.82,379.97,14.56,362.48,141.22,42.24,61.36,219.46
2005,919.21,331.85,515.7,368.34,277.46,675.28,207.15,318.21,1417.4,1322.68,1066.6,334.02,432.6,252.92,1073.13,537.65,375.52,395.27,1807.2,283.04,68.68,256.81,479.66,182.5,312.65,12.03,275.32,123.5,33.82,47.72,180.32
2004,744.49,246.18,407.83,256.36,196.76,529.64,166.28,289.42,1106.19,980.49,805.95,274.63,333.52,205.77,828.33,428.78,310.45,320.63,1418.51,237.77,57.04,200.62,385.78,149.29,263.36,10.02,214.96,104.16,27.0,37.47,155.7
2003,592.54,204.53,335.83,186.05,138.72,447.05,154.0,248.86,886.23,798.11,706.56,220.75,304.71,168.17,713.79,338.05,259.76,268.65,1315.52,203.66,51.32,161.56,336.59,124.56,229.0,8.15,177.33,87.66,24.04,30.03,128.22
2002,533.99,209.7,302.31,150.82,112.85,399.69,131.49,231.89,719.79,643.7,566.85,200.22,272.89,140.55,610.22,296.72,243.44,231.15,1201.61,186.73,46.24,157.87,291.87,108.28,206.76,7.31,150.29,76.24,21.1,26.47,116.47
2001,454.17,163.64,283.5,132.76,99.43,370.44,121.1,213.64,609.47,572.15,500.69,192.18,274.28,131.98,573.18,267.75,231.94,205.41,1160.51,178.67,43.77,106.12,271.12,99.75,191.28,6.11,135.81,69.95,19.82,27.57,95.09
2000,345.0,133.61,248.76,114.48,95.03,295.63,103.83,185.34,485.38,448.31,342.77,178.72,234.11,111.55,463.68,246.47,214.35,177.04,910.56,147.05,39.2,87.24,233.86,85.23,180.75,5.38,114.97,61.28,16.58,20.82,79.07
