job_name,job_area,salary,experience,edu,skill,welfare,company_name,industry,stage,population
Python,深圳·南山区,13-22K,1-3年,本科,Go Linux C++ 熟悉http 常用数据库,包吃，股票期权，年终奖，定期体检，餐补，员工旅游，带薪年假，补充医疗保险，加班补助，免费班车，五险一金，节日福利,腾讯,互联网,已上市,10000人以上
Python,深圳·南山区,15-30K,3-5年,本科,Django 分布式技术 GIT Redis Linux,餐补，五险一金，员工旅游，补充医疗保险，免费班车，带薪年假，全勤奖，年终奖，股票期权，节日福利，住房补贴，定期体检,腾讯互娱,游戏,不需要融资,10000人以上
Python,深圳·龙岗区,25-40K,不限,博士,深度学习算法 自然语言处理 推荐算法 深度学习框架 LSTM,补充医疗保险，带薪年假，节日福利，零食下午茶，通讯补贴，交通补助，加班补助，股票期权，住房补贴，五险一金，餐补，免费班车，定期体检，年终奖,华为,计算机软件,不需要融资,10000人以上
Python,深圳·龙岗区,25-40K,5-10年,本科,容器技术 深度学习算法 Linux Java 后端开发,节日福利，五险一金，员工旅游，加班补助，交通补助，年终奖，定期体检，带薪年假，补充医疗保险,华为技术有限公司,计算机软件,不需要融资,10000人以上
Python,深圳·龙岗区,12-20K,3-5年,本科,Linux Go语言 自动化部署 Docker 熟悉linux,节日福利，五险一金，零食下午茶，定期体检，餐补，员工旅游，年终奖，加班补助，免费班车，带薪年假,中软国际,计算机软件,已上市,10000人以上
Python,深圳,18-23K,5-10年,本科,Flask JavaScript HTML Java RESTful,年终奖，员工旅游，五险一金，免费班车，带薪年假，加班补助，定期体检，补充医疗保险，节日福利,文思海辉·金融,计算机软件,不需要融资,1000-9999人
Python,深圳·南山区,18-35K,5-10年,本科,系统架构 SDN openstack项目 ip协议 TCP,全勤奖，节日福利，补充医疗保险，员工旅游，年终奖，定期体检，带薪年假，零食下午茶，五险一金,平安科技,计算机软件,不需要融资,1000-9999人
Python,深圳,13-20K,3-5年,本科,HTML 消息队列 NoSQL数据库 Go语言 ELK,节日福利，零食下午茶，通讯补贴，五险一金,成都迈思创智科技公司,计算机软件,不需要融资,1000-9999人
Python,深圳·龙岗区,11-20K,1-3年,本科,Linux python开发工程师 熟悉linux操作系统 Python脚本 虚拟化,五险一金，零食下午茶，带薪年假，节日福利，加班补助，定期体检，免费班车,软通动力,计算机软件,已上市,10000人以上
