word,freq
牛市,1993
图片,649
市场,530
A股,527
股市,520
现在,494
已经,452
就是,452
一个,386
没有,333
经济,330
股票,323
券商,319
资金,294
今天,291
行情,269
不是,267
这个,264
银行,258
但是,252
时候,251
板块,249
韭菜,247
开始,245
上涨,245
可以,244
什么,236
还是,226
如果,226
大家,225
疫情,225
自己,217
中国,213
指数,212
知道,206
问题,198
上证指数,197
很多,195
我们,186
涨幅,185
可能,180
估值,179
投资,175
是不是,174
目前,174
突破,170
所以,165
涨停,165
最近,158
创业板,155
因为,153
不要,148
证券,142
基金,142
一直,140
认为,139
然后,135
熊市,135
这么,134
赚钱,133
其实,130
觉得,130
金融,130
万亿,127
这样,126
大涨,125
放水,125
历史,125
之前,124
重要,123
回答,120
持续,120
炒股,120
3000,117
一下,116
看到,115
大盘,115
投资者,115
企业,115
国家,115
未来,115
不会,115
一样,112
消费,110
成交量,109
那么,108
分析,107
来说,105
还有,105
2020,103
几天,102
时间,101
不过,101
月份,100
主要,100
这些,100
个股,100
2015,99
散户,99
这波,97
预测,97
非常,96
一定,96
进场,95
大部分,95
个人,93
政策,93
出现,92
真的,92
不能,90
一天,90
数据,90
情绪,90
今年,88
而且,87
应该,85
趋势,85
收益,85
超过,85
当然,85
美股,84
几个,83
两市,82
3300,82
全球,80
建议,80
怎么,80
连续,80
结论,80
风险,80
地产,80
预期,80
来看,80
一波,80
大牛市,79
基本面,78
科技,78
一年,77
机构,75
资本,75
情况,75
最后,75
机会,75
股民,75
看看,75
左右,75
新高,75
疯狂,74
一次,72
直接,71
这种,71
概率,71
一些,71
只有,70
公司,70
讨论,70
医药,70
两个,70
首先,70
拉升,70
虽然,69
知乎,67
暴涨,67
感觉,67
只是,67
盈利,65
以来,65
各种,65
只能,65
希望,65
逻辑,65
影响,65
长期,65
为什么,64
走势,64
股价,63
外资,63
操作,62
朋友,61
入场,60
需要,60
1.5,60
不少,60
真正,60
进入,60
如何,60
比较,60
上证,60
的话,60
两天,60
保险,60
基本,60
满仓,59
肯定,59
先说,59
一轮,58
启动,56
200,55
判断,55
资产,55
牛熊,55
美国,55
实体,55
最好,55
收盘,55
下面,55
回调,55
文章,55
房地产,55
市值,55
所有,54
至少,54
一点,53
起来,51
严重,50
继续,50
甚至,50
价值,50
别人,50
开启,50
初期,50
说明,50
以前,50
这次,50
只要,50
关注,50
之后,50
怀疑,50
结束,50
楼市,50
更是,50
账户,50
几年,50
这是,50
技术性,50
当时,50
不管,50
不用,49
而已,49
不好,48
20%,48
去年,48
他们,48
几乎,47
有人,46
特征,46
价格,46
存在,45
国际,45
2019,45
翻倍,45
多少,45
那些,45
有没有,45
股指,45
15,45
明显,45
到来,45
低位,45
三个,45
房子,45
答案,45
简单,45
美元,45
调整,45
短期,45
不断,45
30,45
一周,45
手里,45
暴跌,44
月底,43
作为,43
比如,43
结果,43
上车,43
一句,43
跑步,42
看法,42
成交额,42
事情,41
确实,41
下跌,40
那个,40
50,40
交易,40
300,40
煤炭,40
爆发,40
准备,40
央行,40
疯牛,40
五年,40
突然,40
发生,40
融资,40
流入,40
仓位,40
优质,40
空间,40
货币,40
早就,40
有点,40
成交,40
12,40
吸引,40
坚定,40
过去,40
是否,40
所有人,40
形成,40
20,40
牛不牛,40
站上,39
放大,39
熔断,38
5%,37
开户,37
于是,37
而是,36
大概,35
环境,35
人性,35
效应,35
每天,35
老股民,35
定义,35
反正,35
房价,35
国内,35
集体,35
基本上,35
底部,35
大阳线,35
一个月,35
4000,35
昨天,35
身边,35
持仓,35
越来越,35
上周,35
对于,35
发展,35
导致,35
想法,35
是因为,35
上周五,35
经历,35
10,35
似乎,35
有些,35
根据,35
明白,35
处于,35
为了,35
哪里,35
整个,35
疯完,35
基于,35
同时,35
100,34
道理,34
不到,34
阶段,33
近期,33
今日,33
随着,32
意义,31
后面,31
周末,31
小伙伴,30
空仓,30
算是,30
现象,30
成功,30
买入,30
记得,30
核心,30
报道,30
三年,30
实现,30
19,30
推动,30
全面,30
恐惧,30
关键,30
几句,30
推荐,30
增量,30
注册,30
有色,30
表现,30
大量,30
踏空,30
涨到,30
任何,30
一起,30
5.71%,30
毕竟,30
人生,30
成长,30
宽松,30
...,30
收割,30
万亿元,30
估计,30
新闻,30
业绩,30
周期,30
2800,30
美联储,30
关系,30
慢牛,30
关于,30
2014,30
的确,30
理财,30
接下来,30
其中,30
交易日,30
1000,30
利率,30
创新,30
已挂,30
标的,30
亏损,30
龙头,30
参与,30
当下,29
方面,29
接盘,29
强势,28
反而,28
上半年,27
真是,27
领涨,27
入市,27
完全,27
下半年,27
年初,27
相信,27
持有,26
2018,26
信息,26
逐步,25
2013,25
高点,25
显然,25
贪婪,25
开盘,25
世界,25
产生,25
要么,25
原油,25
坚持,25
出来,25
同学,25
样子,25
特别,25
尤其,25
中小板,25
绝对,25
巴菲特,25
状态,25
理解,25
唯一,25
新闻联播,25
由于,25
震荡,25
水牛,25
理由,25
想到,25
跟着,25
明确,25
解释,25
波动,25
办法,25
关心,25
乐观,25
味道,25
原因,25
自由,25
小牛,25
流动性,25
年底,25
过程,25
方式,25
正常,25
再次,25
重仓,25
人民币,25
观点,25
达到,25
白酒,25
中信证券,25
形势,25
迎来,25
各位,25
态度,25
芯片,25
走出,25
最大,25
多年,25
分红,25
容易,25
第一,25
不错,25
必须,25
ETF,25
以及,25
水平,25
徘徊,25
心态,25
降低,25
反弹,25
前期,25
信号,25
挣钱,25
支持,25
不了,25
上升,25
或者,25
以上,25
慢慢,25
时刻,25
按照,25
现金,25
就算,25
麦浪,25
轮动,25
进行,25
基础,25
放量,25
看空,25
最高,25
量化,25
实在,25
30%,25
500,25
财富,25
代表,25
18,25
并且,25
本来,25
7%,25
没什么,25
大多数,25
第二,25
差不多,25
确认,24
确定,24
根本,24
当前,24
无论,24
增加,24
赶紧,23
赌场,23
天天,23
然而,22
发力,22
看好,21
其他,21
部分,20
决定,20
以为,20
所谓,20
想想,20
14,20
