word,freq
高考,2198
未来,1549
决定,1443
一个,806
可以,644
自己,594
不能,529
大学,510
不是,403
人生,392
但是,382
没有,373
可能,329
就是,323
如果,316
影响,316
努力,310
选择,310
什么,300
对于,284
工作,280
这个,238
很多,235
学校,235
来说,215
机会,210
成功,205
还是,200
因为,188
改变,181
我们,180
现在,178
重要,175
一定,171
只是,170
学历,160
孩子,160
觉得,151
或者,150
他们,146
社会,142
以后,135
读书,135
不会,133
同学,130
别人,130
考上,130
一次,130
那些,127
学习,125
学生,125
专业,125
问题,123
当然,120
事情,115
程度,115
普通人,115
成为,115
高中,111
毕业,110
很大,110
真的,110
985,110
能力,107
结果,106
生活,105
不好,105
比较,105
家里,105
成绩,105
不要,102
其实,100
应该,100
公平,100
而且,100
通过,100
知道,100
图片,97
本科,95
至少,95
父母,95
什么样,95
考试,95
家庭,93
个人,90
所以,90
还有,90
改变命运,90
优秀,90
只能,90
那么,86
需要,85
这种,85
大部分,85
这些,83
不了,83
任何,82
时候,81
背景,80
命运,80
其他,80
资源,80
一些,80
因素,79
的话,79
回答,76
进入,75
普通,75
一下,71
一条,70
只有,70
不同,70
这样,70
只要,70
初中,70
教育,70
之后,70
大家,70
概率,70
而言,70
城市,70
阶级,70
条件,68
起点,65
不过,65
最好,65
能够,65
一样,65
基本,65
一点,63
大多数,61
非常,60
已经,60
这么,60
甚至,60
唯一,60
最终,60
告诉,60
相对,60
好好,60
考得,60
四年,60
而是,60
出来,55
一般,55
一生,55
直接,55
想要,55
要是,55
时间,55
开始,55
一辈子,55
肯定,55
东西,55
同样,55
虽然,55
有些,55
就算,55
人脉,55
代表,55
行业,55
参加,50
绝对,50
公司,50
然后,50
考研,50
情况,50
211,50
最后,50
容易,50
也许,50
水平,50
确实,50
名校,50
看看,50
这是,50
比如,48
是否,48
看到,47
环境,45
发现,45
门槛,45
作用,45
基本上,45
道路,45
身边,45
怎么,45
发展,45
出路,45
职业,45
曾经,45
失利,45
中国,45
大学毕业,45
经历,45
目前,45
轨迹,45
接触,45
一直,45
一切,45
为什么,44
各种,43
农村,42
多少,40
喜欢,40
国家,40
竞争,40
时代,40
无法,40
一步,40
找到,40
清华,40
不错,40
完全,40
一种,40
认为,40
走向,40
大专,40
出身,40
加油,40
轻松,40
打工,40
二代,40
几乎,40
有人,39
思考,38
等等,38
以为,37
朋友,36
答案,36
三本,35
高度,35
特别,35
之前,35
意义,35
或许,35
后面,35
面对,35
工资,35
不行,35
一部分,35
方向,35
一本,35
几个,35
无数,35
毕竟,35
普通家庭,35
每个,35
简单,35
运气,35
通往,35
是不是,35
出生,35
为了,35
哪里,35
希望,35
老师,35
当时,35
创业,35
理想,35
怎样,32
一件,32
许多,31
首先,31
相信,31
认识,30
哪个,30
后悔,30
转折点,30
上限,30
知乎,30
一天,30
大学生,30
有没有,30
作为,30
第一个,30
可是,30
家族,30
确定,30
例子,30
关键,30
过程,30
之间,30
方式,30
知识,30
即使,30
本科生,30
只不过,30
更好,30
一份,30
里面,30
好好学习,30
那种,30
节点,30
不到,30
就业,30
故事,30
一年,30
当年,30
一路,30
两个,30
无限,30
研究生,30
出国,30
拿到,30
优势,30
掌握,30
接受,30
一句,30
今后,30
读研,30
视野,27
得到,26
似乎,26
博士,25
存在,25
县城,25
每天,25
事件,25
至于,25
不用,25
老人,25
价值,25
除非,25
在于,25
所有,25
办法,25
收入,25
那个,25
敲门砖,25
出去,25
平台,25
人才,25
个体,25
真正,25
考好,25
模式,25
梦想,25
特例,25
能否,25
永远,25
留学,25
如何,25
读完,25
打游戏,25
打算,25
美好,25
导致,25
一所,25
第一,25
亲戚,25
没用,25
类似,25
一道,25
带来,25
...,25
圈子,25
没考上,25
学姐,25
怎么样,25
以上,25
付出,25
要求,25
文凭,25
顶替,25
根据,25
某某,25
系统,25
获得,25
意味着,25
基础,25
时期,25
的确,25
遗憾,25
其中,25
后来,25
过去,25
之类,25
整个,25
我会,25
而已,25
选拔,25
考个,25
你们,25
马云,25
发生,23
阶层,22
同龄人,22
另外,21
奋斗,20
有着,20
算是,20
途径,20
思维,20
世界,20
出现,20
产生,20
相对来说,20
本事,20
见到,20
哪些,20
眼里,20
文化,20
规划,20
第一次,20
要素,20
中考,20
性格,20
明确,20
退路,20
大城市,20
三年,20
实现,20
不然,20
阶段,20
层次,20
高校,20
二本,20
拼搏,20
领域,20
放弃,20
做出,20
科举,20
观点,20
有钱,20
光明,20
发挥,20
招聘,20
题主,20
资本,20
达到,20
没考,20
因此,20
岗位,20
绝大多数,20
取决于,20
日后,20
一起,20
拥有,20
国外,20
最大,20
轻易,20
问问,20
起跑线,20
变成,20
罢了,20
必须,20
以及,20
相当于,20
结束,20
整天,20
上学,20
一分钟,20
感觉,20
才能,20
目标,20
考虑,20
将来,20
属于,20
冲刺,20
争取,20
关系,20
或者说,20
有点,20
自考,20
早已,20
清北,20
好不好,20
农民,20
不够,20
家境,20
才华,20
财富,20
方面,20
考到,20
捷径,20
并且,20
本来,20
老板,20
地方,20
一场,20
退学,20
从事,20
差不多,20
认真,18
学子,18
变化,18
态度,18
高三,18
定义,17
过于,16
无论,16
小学,15
985211,15
职场,15
包括,15
大众,15
共同,15
校园,15
不高,15
可能性,15
帮助,15
显然,15
提供,15
分量,15
样子,15
顶级,15
尤其,15
提升,15
&#,15
更加,15
也就是说,15
继续,15
考入,15
房价,15
理解,15
如此,15
有时候,15
指着,15
动心,15
继承,15
回来,15
出门,15
道理,15
清楚,15
前途,15
记得,15
输在,15
申请,15
前后,15
主要,15
哈佛,15
没读,15
诸多,15
院校,15
不少,15
氛围,15
实际,15
意志,15
穷人,15
难以,15
普遍,15
企业,15
混吃,15
思想,15
到底,15
一座,15
还会,15
美国,15
路上,15
稳定,15
以前,15
十年,15
差别,15
名牌大学,15
根本,15
实力,15
正常,15
这次,15
不得不,15
失败,15
不说,15
压力,15
艰难,15
夏天,15
准备,15
见识,15
如今,15
不谈,15
像是,15
应届生,15
底气,15
全国,15
赚钱,15
要说,15
一线,15
扇门,15
专升本,15
朋友圈,15
那样,15
从来,15
表现,15
各位,15
尽量,15
积累,15
擅长,15
走出,15
享受,15
制度,15
剩下,15
妻子,15
试卷,15
保研,15
富有,15
房子,15
眼界,15
想法,15
结论,15
逆袭,15
跃升,15
服务员,15
必要,15
迷茫,15
不仅,15
看重,15
其他人,15
左宗棠,15
很难,15
金圣叹,15
爸妈,15
每年,15
成长,15
有用,15
心态,15
精神,15
不如,15
取得,15
素质,15
小区,15
做好,15
距离,15
估计,15
上升,15
定位,15
优点,15
当下,15
却是,15
具有,15
本科毕业,15
差距,15
终生,15
外卖,15
市场,15
无数个,15
明白,15
专科,15
进行,15
小孩,15
追求,15
读博,15
处于,15
努力学习,15
第二个,15
少数,15
还要,15
巨大,15
现实,15
接下来,15
不想,15
不断,15
无疑,15
乃至,15
人家,15
至关重要,15
信念,15
变数,15
不敢,15
一段,15
所有人,15
螺丝钉,15
天赋,15
顺利,15
行行出状元,15
读书无用,15
抓住,15
遇见,15
北京,15
创造,15
来看,15
分数,15
20,15
地位,15
家长,15
终点,15
不管,15
只会,15
彩票,15
这辈子,15
毕业生,15
同时,15
原因,13
好坏,12
全家,12
混个,12
本人,11
身上,11
这里,11
有关,10
开发,10
最快,10
挑战,10
贫穷,10
所谓,10
复杂,10
背后,10
冲锋,10
通道,10
挂科,10
想想,10
来自,10
娃娃,10
某些,10
几天,10
对待,10
向往,10
多一点,10
坚持,10
往往,10
技能,10
贫困家庭,10
前提,10
反正,10
老百姓,10
抗压,10
东北,10
一代,10
一把,10
风景,10
十八,10
比尔盖茨,10
每一件,10
录取,10
然而,10
一战,10
决定性,10
重视,10
成就,10
翻身,10
充满,10
一大,10
生气,10
很少,10
有矿,10
无非,10
资格,10
儿子,10
目的,10
尽力,10
各行各业,10
拿出,10
整体,10
地区,10
大体,10
同胞,10
hard,10
资产,10
总体,10
34,10
人均,10
弯路,10
考题,10
光环,10
理由,10
待遇,10
留在,10
事业,10
一考定,10
十八年,10
师资,10
女儿,10
同城,10
生得,10
网红,10
泡沫,10
高薪,10
考生,10
这篇,10
某一方面,10
些许,10
目的地,10
松懈,10
这件,10
一切都是,10
5k,10
提高,10
多种,10
事物,10
到达,10
好像,10
就此,10
增大,10
不必,10
想着,10
对比,10
年轻,10
造成,10
一连串,10
果园,10
建议,10
他会,10
具体,10
走路,10
展现,10
无所谓,10
下海经商,10
很多年,10
眼中,10
看做,10
照样,10
承认,10
跃迁,10
原生,10
富贵,10
不至于,10
人群,10
体会,10
内卷,10
重大,10
自由,10
竟然,10
数学,10
城里,10
突破,10
相关性,10
最近,10
路径,10
博士生,10
单一,10
不足以,10
明星,10
家徒四壁,10
投胎,10
时光,10
档次,10
发光,10
外部,10
教育资源,10
巅峰,10
赶集网,10
盒子,10
这部分,10
绝大部分,10
我家,10
往前,10
某个,10
罗马,10
轻视,10
感谢,10
意思,10
愿意,10
游戏,10
工厂,10
毕业证,10
小时候,10
吃得起,10
情商,10
关注,10
安身立命,10
如果说,10
熏陶,10
落榜,10
感受,10
富豪,10
咱们,10
概率论,10
提前,10
面前,10
选项,10
白岩松,10
我妈,10
机灵,10
招牌,10
往后,10
高考制度,10
无尽,10
忽视,10
总裁班,10
似的,10
too,10
足以,10
最能,10
填报,10
变量,10
承担,10
门票,10
各个,10
求职,10
家人,10
命题,10
三个,10
上海,10
训练,10
体面,10
本质,10
开端,10
霸道,10
二线,10
学院,10
人员,10
没错,10
所在,10
七大姑八大姨,10
靠着,10
超越,10
热衷于,10
面试,10
图书馆,10
回馈,10
太多太多,10
第四个,10
58,10
风水,10
米饭,10
easy,10
专情,10
康波,10
死亡,10
优质,10
荣耀,10
棋手,10
中奖率,10
当前,10
珍惜,10
先说,10
子弟,10
体验,10
展示,10
高学历,10
全部,10
是因为,10
体力,10
人数,10
失常,10
变相,10
国企,10
体系,10
老大,10
大字,10
方法,10
有句,10
没关系,10
总有,10
流传,10
10,10
心中,10
简历,10
尽全力,10
当初,10
保持,10
现代,10
来讲,10
做点,10
一万,10
青年,10
专科生,10
生命,10
有个,10
优异,10
讨饭,10
艺术,10
高低,10
快乐,10
穷人家,10
恰好,10
多个,10
王宝强,10
极端,10
黄金,10
这条,10
铁路,10
阴德,10
一片,10
大专生,10
在校,10
打开,10
向上,10
下力,10
蝴蝶效应,10
专转本,10
智商,10
本硕博,10
重点,10
视频,10
注意,10
三次,10
实验班,10
慢慢,10
底层,10
口中,10
周围,10
手段,10
保障,10
鸡汤,10
以下,10
自主,10
助力,10
下线,10
不在乎,10
弥补,10
中产,10
志愿,10
保底,10
万物,10
关于,10
所处,10
普普通通,10
北大,10
小时,10
除了,10
人际,10
王者,10
前行,10
初始,10
随便,10
组成,10
万人,10
终身,10
想象,10
基尼系数,10
一套,10
总裁,10
充分,10
专业知识,10
普罗,10
单位,10
上市,10
极大,10
天天,10
找个,10
假如,10
复读,10
选择面,10
教师,10
一张,10
你好,10
度过,10
答主,10
工人,10
无数次,10
踏入社会,10
在乎,10
一劳永逸,10
照顾,10
硕士,10
并非,10
意识,10
XX,10
这类,10
销售,10
一半,10
局限,10
分水岭,10
耳濡目染,10
考完,10
培养,10
太重,10
土丘,10
天下第一,10
下限,10
教训,10
一笔,10
知识点,10
排位,10
追上,10
白领,10
打破,10
平均,10
运行,10
谈钱,10
前段时间,10
十二年,10
过往,10
跨过,10
不配,10
富裕,10
30,10
勉强,10
下去,10
另一半,10
