日期,体重lb,体脂率%,数据源
2010-03-24,167.8,15.0,withings
2010-03-26,166.4,16.5,withings
2010-03-30,168.0,16.9,withings
2010-04-06,170.2,16.9,withings
2010-04-14,164.9,,withings
2010-04-28,168.0,,withings
2010-05-13,167.3,,withings
2010-05-15,166.7,,withings
2010-05-15,167.3,,withings
2010-05-15,167.3,,withings
2010-05-22,166.4,16.6,withings
2010-05-22,171.1,17.5,withings
2010-05-29,168.0,15.4,withings
2010-06-05,168.0,17.0,withings
2010-06-19,169.5,17.7,withings
2010-06-20,168.0,17.0,withings
2010-06-22,167.8,16.6,withings
2010-06-28,169.1,17.6,withings
2010-06-29,167.6,15.0,withings
2010-07-05,166.0,16.7,withings
2010-07-20,169.5,17.4,withings
2010-07-23,167.3,15.2,withings
2010-07-26,172.2,16.4,withings
2010-07-28,168.7,17.5,withings
2010-07-31,167.1,17.0,withings
2010-08-10,166.0,16.8,withings
2010-08-15,171.1,17.9,withings
2010-08-18,170.4,16.4,withings
2010-08-22,169.8,17.9,withings
2010-09-11,166.9,15.4,withings
2010-09-19,167.3,17.7,withings
2010-09-29,168.7,17.5,withings
2010-10-06,167.6,17.2,withings
2010-10-09,168.0,17.3,withings
2010-10-20,169.8,17.5,withings
2010-10-21,167.6,18.8,withings
2010-11-13,167.6,16.6,withings
2010-11-25,167.1,18.7,withings
2010-11-25,166.2,18.4,withings
2010-12-01,165.8,18.3,withings
2010-12-22,168.0,18.9,withings
2010-12-28,167.3,18.8,withings
2011-01-05,166.9,18.9,withings
2011-05-10,172.8,18.8,withings
2011-05-15,167.3,18.8,withings
2011-05-18,167.6,15.4,withings
2011-05-26,172.0,16.2,withings
2011-05-29,168.4,17.5,withings
2011-06-03,168.0,17.1,withings
2011-06-04,169.5,15.6,withings
2011-06-05,166.7,17.0,withings
2011-06-12,166.2,16.9,withings
2011-06-22,167.3,16.9,withings
2011-06-23,164.7,16.5,withings
2011-06-25,166.0,16.9,withings
2011-06-28,165.8,17.1,withings
2011-06-28,165.6,14.9,withings
2011-06-29,165.3,17.0,withings
