company_name,legalPerson,regCap
华为技术有限公司,赵明路,"3,990,813.2万"
华为终端有限公司,赵明路,"50,000.0万"
华为软件技术有限公司,张平安,"50,000.0万"
华为投资控股有限公司,赵明路,"2,223,678.9万"
华为机器有限公司,徐文伟,"210,000.0万"
华为技术服务有限公司,汤启兵,"15,000.0万"
东莞华为服务有限公司,徐文伟,"20,000.0万"
温州华为包装有限公司,李春波,100.0万
绍兴市华为纺织品有限公司,朱<em>华为</em>,50.0万
武汉华为投资有限公司,郭平,"20,000.0万"
苏州华为投资有限公司,郭平,"20,000.0万"
华为培训(东莞)有限公司,吕克,"5,000.0万"
江苏华为建设有限公司,高小静,"13,500.0万"
淄博华为颜料有限公司,徐博,208.0万
沂源华为投资有限公司,亓中华,"3,042.7万"
青岛华为帮厨有限公司,杨现芹,"5,000.0万"
四川华为电缆有限公司,代小勤,"5,188.0万"
南通华为电力设备有限公司,刘冰,"5,028.0万"
绍兴华为化工有限公司,王金兔,"1,150.0万"
华为海洋网络有限公司,郭平,"3,600.0万"
江苏华为项目管理有限公司,马海兰,200.0万
新泰市华为工贸有限公司,丁立斌,"1,000.0万"
浙江华为通信技术有限公司,傅建根,"2,000.0万"
广西华为投资有限公司,王建良,"2,000.0万"
邹平华为物资有限公司,赵功友,100.0万
深圳市华为技术服务有限公司,汤启兵,"2,000.0万"
磐安华为科技有限公司,应钦钟,100.0万
江西华为餐饮管理有限公司,潘昌华,"2,000.0万"
山东华为能源有限公司,仲伟海,"1,000.0万"
仁怀华为医院有限公司,虞文溢,500.0万
海南华为鲜贸易有限公司,政<em>华为</em>,"1,000.0万"
无锡华为建设有限公司,颜晨旭,"2,018.0万"
山西华为养殖有限公司,吴利强,110.0万
成都华为商贸有限公司,胥华,200.0万
温州华为机电有限公司,舒红艳,200.0万
成都华为电器有限公司,朱燕,300.0万
张家港市华为电子有限公司,严为人,"1,000.0万"
黑龙江华为电力集团有限公司,姜继伟,"10,000.0万"
苏州华为汽车销售服务有限公司,李思聪,"1,000.0万"
温州华为标准件有限公司,戴克华,"1,000.0万"
辽宁华为招标有限公司,付涛,"1,000.0万"
三门峡华为药品有限责任公司,刘红星,"1,200.0万"
上海华为实业有限公司,徐展敏,500.0万
淮安市华为矿业有限公司,高洁,"2,000.0万"
湖南华为瓷业有限公司,丁文辉,200.0万
滕州华为线缆有限公司,赵本银,50.0万
苏州华为建材有限公司,周婷婷,100.0万
四川华为钢铁有限公司,何英,500.0万
湘潭华为湘莲有限公司,王华栋,500.0万
北京华为数字技术有限公司,孙亚芳,"30,000.0万"
上海华为建筑有限公司,徐捷,800.0万
福建华为商贸有限公司,林金为,500.0万
哈尔滨华为饲料有限公司,李国华,50.0万
辽宁华为餐饮有限公司,刘义,500.0万
莱州华为石材有限公司,初晓刚,"1,086.0万"
徐州华为能源有限公司,闵会宇,"1,000.0万"
华为置业(天津)有限公司,牛俊福,"2,768.0万"
郑州市华为种业有限公司,孙晓娟,500.0万
眉山华为贸易有限公司,杜海涛,200.0万
天津华为商贸有限公司,齐满义,100.0万
枣庄华为建材有限公司,李运河,200.0万
晋江华为鞋业有限公司,陈东品,100.0万
华为数字技术(苏州)有限公司,阎力大,"80,000.0万"
南京华为商贸有限公司,佘为顺,50.0万
霍山华为建材有限公司,高本清,50.0万
杭州华为电器有限公司,郦政为,50.0万
滨州华为信息技术有限公司,张凯,50.0万
台州华为塑业有限公司,陈良法,10.0万
扬州华为涂装有限公司,于小勇,600.0万
镇江华为机械有限公司,谢涛,60.0万
华为(杭州)培训中心有限公司,丁耘,"3,000.0万"
泰州市华为中央空调有限公司,吴建华,106.0万
徐州华为电子有限公司,陈伟,200.0万
上海华为工贸有限公司,姜晓华,200.0万
河北华为房地产开发有限公司,吴俊杰,"1,000.0万"
浙江华为典当有限责任公司,胡慧敏,"3,000.0万"
泰州市华为航运有限公司,刘琳,500.0万
营口华为涂料有限公司,李恩华,100.0万
株洲华为汽车服务有限公司,刘祥,300.0万
江苏华为医药物流有限公司,辛聪,"20,000.0万"
天津华为物流有限公司,魏霞,5.0万
株洲市华为食品有限公司,游景江,309.0万
昆明华为商贸有限公司,胡卫兵,100.0万
江苏华为复合材料有限公司,张晖,"6,000.0万"
宜昌华为庆典有限公司,张为,50.0万
东台华为贸易有限公司,王自为,76.0万
灌南县华为建材有限公司,李成宝,"1,000.0万"
河南省华为实业有限公司,王天兴,"10,000.0万"
上海华为投资管理有限公司,袁晋清,"1,000.0万"
嵊州市华为装潢有限公司,周天珮,500.0万
