hotelname,place,price
杭州开元森泊度假酒店 ,湘湖 ，距离杭州南站8.1km,1067
杭州西湖国宾馆 ,龙井/虎跑 ，距离西湖国宾馆105m,1428
杭州柏悦酒店 ,钱江新城 ，距离钱江路地铁站290m,1887
杭州西子湖四季酒店 ,龙井/虎跑 ，距离曲院风荷530m,5341
千岛湖洲际度假酒店 ,千岛湖风景区 ，1km内无地铁站,997
杭州泛海钓鱼台酒店 ,城东 ，距离市民中心130m,1111
杭州康莱德酒店 ,钱江新城 ，距离江锦路地铁站200m,1498
杭州洲际酒店 ,城东 ，距离市民中心265m,1254
杭州JW万豪酒店 ,湖墅南路 ，距离武林门地铁站585m,1029
杭州西湖美居酒店 ,庆春路沿线 ，距离娃哈哈美食城235m,504
法云安缦酒店 ,灵隐 ，距离杭州城站8.2km,5710
黄龙饭店 ,西湖北线/黄龙 ，距离黄龙世纪广场315m,976
杭州城中香格里拉大酒店 ,平海路 ，距离凤起路地铁站280m,1283
千岛湖梅地亚君澜度假酒店 ,千岛湖风景区 ，1km内无地铁站,909
杭州千岛湖滨江希尔顿度假酒店 ,千岛湖风景区 ，1km内无地铁站,716
浙江西子宾馆·汪庄 ,南山路 ，距离西子宾馆375m,1079
杭州富春开元芳草地乡村酒店 ,建德市其他 ，1km内无地铁站,710
千岛湖绿城度假酒店 ,千岛湖绿城度假公寓 ，1km内无地铁站,824
绿城千岛湖喜来登度假酒店 ,千岛湖绿城度假公寓 ，1km内无地铁站,903
未闻小筑民宿 ,灵隐 ，距离植物园1.7km,461
杭州西溪宾馆 ,西溪 ，距离杭州城站13.0km,889
茶墅·竹度假酒店 ,龙井/虎跑 ，距离杨公堤555m,338
杭州千岛湖开元度假村 ,千岛湖风景区 ，1km内无地铁站,549
杭州西湖柳莺里酒店 ,南山路 ，距离西子宾馆600m,1694
杭州西溪喜来登度假大酒店 ,西溪 ，距离西溪天堂300m,882
杭州钱江新城万豪酒店 ,钱江世纪城 ，距离江锦路地铁站490m,972
千岛湖绿城蓝湾度假酒店 ,千岛湖绿城度假公寓 ，1km内无地铁站,389
格雷斯精选酒店(杭州金沙湖店) ,下沙 ，距离下沙西地铁站1.1km,258
富春山居度假酒店 ,富阳区其他 ，1km内无地铁站,2783
杭州君悦酒店 ,湖滨 ，距离凯悦酒店100m,1626
杭州雷迪森铂丽大饭店 ,市心北路 ，距离建设三路地铁站280m,676
灵隐茶墅酒店 ,灵隐 ，距离植物园1.2km,388
杭州余杭万丽酒店 ,临平 ，距离临平地铁站1.2km,690
千岛湖伯瑞特度假酒店 ,千岛湖风景区 ，1km内无地铁站,509
杭州雅泊酒店 ,凤起路沿线 ，距离建国北路地铁站75m,280
杭州西溪悦榕庄 ,西溪 ，距离西溪天堂385m,2865
杭州西湖文化广场亚朵酒店 ,朝晖地区 ，距离西湖文化广场地铁站285m,551
杭州良渚君澜度假酒店 ,良渚 ，距离杭州东站20.2km,679
临安湍口众安氡温泉度假酒店 ,湍口镇 ，1km内无地铁站,775
杭州千岛湖皇冠假日酒店 ,建德市其他 ，1km内无地铁站,607
千岛湖丽景酒店 ,千岛湖风景区 ，1km内无地铁站,107
杭州逸酒店 ,湖墅南路 ，距离沈塘桥地铁站395m,783
杭州千岛湖润和建国度假酒店 ,千岛湖风景区 ，1km内无地铁站,637
杭州西湖湖滨银泰亚朵酒店(原杭州西湖平海路亚朵酒店) ,庆春路沿线 ，距离香溢大酒店455m,519
杭州运河祈利酒店 ,信义坊 ，距离运河文化广场455m,730
杭州开元名都大酒店 ,北干 ，距离人民广场地铁站155m,615
杭州大华饭店 ,南山路 ，距离西湖天地135m,1460
杭州绿城尊蓝钱江豪华精选酒店 ,万泰城 ，距离甬江路地铁站630m,1125
千岛湖开元颐居酒店 ,千岛湖风景区 ，1km内无地铁站,398
杭州西湖铂祝香园PARKZOO酒店(杭州大厦店) ,高新文教区 ，距离文华大酒店245m,595
杭州第一世界大酒店 ,湘湖 ，距离湘湖地铁站1.2km,770
杭州西溪花间堂 ,西溪 ，距离杭州城站12.3km,0
杭州维景国际大酒店 ,吴山广场/河坊街 ，距离娃哈哈美食城465m,500
Zprime智尚臻选酒店(杭州西湖延安路湖滨店) ,凤起路沿线 ，距离凤起路地铁站60m,349
和昉·五洋公馆(西湖湖滨音乐喷泉店) ,解放路沿线 ，距离解百395m,298
杭州千禧度假酒店 ,龙井/虎跑 ，距离杭州城站8.8km,943
杭州西湖CitiGO欢阁酒店 ,庆春路沿线 ，距离娃哈哈美食城215m,276
杭州九里云松度假酒店 ,灵隐 ，距离植物园740m,1499
杭州天域开元观堂 ,萧山区 ，距离杭州南站19.3km,729
杭州花家山庄 ,龙井/虎跑 ，距离四眼井515m,868
千岛湖开元曼居酒店 ,千岛湖风景区 ，1km内无地铁站,381
绿城·杭州玫瑰园度假酒店 ,西湖区 ，距离杭州城站10.6km,1288
杭州新新饭店 ,西湖北线/黄龙 ，距离香格里拉大酒店645m,1538
那边客栈(灵隐寺店) ,龙井/虎跑 ，距离植物园1.0km,268
维也纳国际酒店(杭州火车东站店) ,城东 ，距离火车东站地铁站430m,329
杭州藏蓝驿民宿 ,西湖北线/黄龙 ，距离浙大玉泉校区320m,278
锦辰酒店(杭州西湖黄龙体育中心店) ,高新文教区 ，距离学院路地铁站25m,326
杭州皇逸庭院酒店 ,钱江新城 ，距离景芳地铁站640m,499
杭州三宿酒店 ,龙井/虎跑 ，距离四眼井1.3km,430
杭州滨江银泰喜来登大酒店 ,星光大道 ，距离星光国际广场1.2km,938
全季酒店(杭州西湖解放路店) ,吴山广场/河坊街 ，距离香溢大酒店205m,332
杭州远洋凯宾斯基酒店 ,大关 ，距离欧尚超市815m,1352
杭州运河希尔顿欢朋酒店 ,余杭区 ，距离杭州东站10.7km,647
宋城千古情主题酒店(西湖店) ,宋城 ，距离杭州城站11.5km,313
水博园·道谷酒店 ,萧山高教园 ，距离杭州南站9.7km,664
桐庐雷迪森度假酒店 ,桐庐县其他 ，1km内无地铁站,545
