label,text
教育,澳移民子女成长记：带着中国心融入主流社会新华网悉尼5月31日电 无论哪个国家的父辈与子女间都存在代沟问题，澳大利亚许多新移民(微博)家庭面对的代沟问题更复杂一些，夹杂着中澳两国社会制度、语言、文化习俗不同所导致的多重性，华人子女对祖籍国和中华文化的认同与归属感等问题。但记者采访中发现，如果正确面对，积极引导，这些文化冲突并非不能克服。带着一颗中国心融入澳大利亚主流社会上世纪90年代初，年仅7岁的张珍妮随父母移民澳大利亚。在新国度里生活，对大人和孩子来说都是巨大挑战。珍妮的父母需要面对不熟悉当地民事政策、就业难和贷款买房压力大等生计问题，而刚上小学的珍妮也有环境不适应、语言不通等困难。那时，她回到家里常常说“我讨厌澳洲”等抱怨的话。幸好珍妮的父母都曾是英语教师，他们帮助女儿很快克服了语言关，并鼓励她与其他民族背景的孩子交往。在学校老师和同学们的帮助下，珍妮很快就适应了学校环境。珍妮的父亲张学丰在澳大利亚新州教育部门任职。他告诉记者，移民子女的语言和如何融入主流社会其实无需过分担忧，该担忧的倒是他们的中文水平和对祖(籍)国及中华文化的归属感。回顾珍妮的成长，张学丰感受最深的有两点：一是华裔青少年要很好地融入主流社会，一定要凭真才实学、良好的文化价值观和社会活动能力；二是父母在鼓励孩子靠学识和能力融入主流社会的同时，一定要培育他们的中国心。他说，这绝不是文化沙文主义。西方不少普通人对中国和中华文化的偏见在今后相当长的时期内难以完全消除。在融入主流社会的同时，海外华人有义务不断弘扬中华民族以善为本的优良传统。建立以华人血缘文化为纽带的新体系和价值关系在澳大利亚华人家庭的孩子们一般受到两种文化的熏陶，一种是澳大利亚文化，另一种是父母的中华文化。他们白天在学校接触的是主流文化和教育，晚上回到家里，父母则坚持与他们用中文交谈。澳大利亚联储银行信用研究所研究员、经济学家郭生祥说，澳大利亚的课堂教育强调动手、应用和实践，提倡辩论和逻辑分析，还注重团体协作。在知识教育外，老师和同学们彼此鼓励、赞美、引导、激励，这是接受知识、学会做人、相会相处教育中最重要的方式方法，是愉快人生、阳光人生的根本之道。郭生祥说，今天澳大利亚华人的下一代，不光有普通代沟的通病，还显现出更普遍的文化冲突现象。中华民族是一个重视血缘关系的民族，所以需要仔细研究血缘关系的扩张能力、演化规律，探索建立一种更广泛地以华人血缘文化为纽带的全球性的新网络体系和价值关系。(记者：胡萌)
体育,快船vs火箭首发：休城旨在练兵 小德帕特森进先发新浪体育讯北京时间4月10日消息，在常规赛还剩下三场的时候，火箭已经彻底的失去了进军季后赛的希望。所以今天战快船旨在练兵，再加上洛瑞一直有伤，帕特森和德拉季奇则接替小钢炮和斯科拉首发出场。以下为双方本场比赛的首发阵容：快船：威廉姆斯、戈登、穆恩、格里芬、乔丹火箭：德拉季奇、马丁、巴丁格、帕特森、海耶斯(新体)
科技,3英寸屏高清闪存DV 三洋TH1特价1499         作者：中关村在线 飘雪          近日，飘雪从商家获悉：三洋TH1数码摄像机最新售价由原来的1750元降到了1499元，250元的降幅使这款可以支持720P高清视频播放的闪存DV，性价比更加突出，同时其所配备的3英寸显示屏拍摄效果也非常不错，近期想要购买DV的朋友不妨考虑一下这款机型。三洋TH1摄像机同样采用了DV常见的卧式机身设计，其机身尺寸为53.3×57.3×105mm，重量为226g，并且提供了红色、黑色、银色三种颜色可供消费者选择，另外，机身侧面还配备了一块可进行285度旋转的3英寸、23万像素LCD显示屏，显示效果还算不错。采用有效像素为110万、1/6英寸CMOS传感器的三洋TH1，使用了等效焦距为43-1290mm，最大光圈为1.8-4.3的30倍光学变焦镜头，最近对焦距离仅为1cm，感光度范围是ISO50-1600，并且可以插值输出200万像素照片，比较遗憾的是它不具备光学防抖功能。值得一提的是：三洋TH1摄像机可以支持1280×720/30fps、格式为MEPG 4/H.264的高清视频拍摄，也能输出最大分辨率为1600×1200的静态照片，同时它还支持面部识别功能，可以同时识别多达12张人脸。其他方面，机身内置了43MB内存，可以支持SDHC卡扩展容量。三洋TH1【参考报价】：1499元【公司名称】：郑州星源数码【公司地址】：中科信息大厦808【联系电话】：0371-69130127 13603456670【网店地址】：http://www.371dvdc.com.cn/
时尚,贝嫂乏味归乏味 还有人买账Victoria Beckham 乏味归乏味 还有人买账大姐大的阵营里怎么能缺少贝嫂？况且最近有些迹象已经证明了，如果没有铅笔裙和Birkin包贝嫂也敢出街见人。比如她最近穿着的粉红色Moschino Cheap&Chic连衣裙就充分表明了魔头也甜蜜的一面。但会不会就此掀起一阵罗莉嫂风潮，就不得而知。不过，贝嫂还需要用穿着引导潮流吗？当然不，她只要不断地刷新拥有Birkin的数量，和让裙摆越来越窄就足够永葆金招牌一姐的地位了。1、不只Queen B懂得用发带，贝嫂戴上也超有型。加上这件金丝小黑裙，赫本味道呼之欲出。     2、Stella McCartney的全黑修身西装套装带着中性风格的性感。3、鳄鱼皮的Birkin不能离手，要是失去它，也许贝嫂的光环马上微弱了很多。     4、端庄的米色与她并不那么合拍，但从剪裁线条上看你就知道这是她自家品牌Victoria Beckham的设计。    5、唯一没有改变的是连水台都高足3公分的Christian Louboutin。点石成金指数：五星点石成金业绩：Hermès Birkin手袋、Roland Mouret窄身铅笔裙、Antonio Berardi无跟超高跟鞋Sarah Jessica Parker 活在续集里才能妥妥的现实生活中的Sarah Jessica Parker穿着搭配总是过于简洁过于casual，吊带黑背心和Ugg很可能是她的最爱。如果《Sex&The City》不再不厌其烦地拍摄续集，可能那个时髦的纽约客SJP也会随之消失。论穿着，发光的那个其实是虚拟世界中的Carrie Bradshaw，也只有在那里我们才能看到40岁女人穿公主裙、男士内裤、12厘米细高跟儿焕发出来的魅力。1. Fendi Spy系列是Sarah Jessica Parker第一个在戏外引领的时尚潮流。     2. 在戏中，Carrie Bradshaw让我们见识了中年女人穿着罗莉装扮的风情，也并不显得生硬和突兀。     3. Timmy Woods的铁塔包一经电影曝光，立刻登上了各个时装频道的头版头条，可现实生活中有谁会真的拎着“铁塔”出门？4. 她更喜欢各种各样的直筒裤装，而且还要把裤脚反到七分长。而且她还是唯一一个喜欢短款围巾的女星。     5. 成为Halston的代言人，SJP的选择越来越基本款。如果时尚教主的扮相人人得而抄之，是不是代表着教主本人的光芒也越来越微弱呢？点石成金指数：四星点石成金业绩：Fendi Spy系列包包、Timmy Woods铁塔包、manolo blahnik高跟鞋、Oscar de la renta礼服。
房产,三亚岭南赶房集 金九银十再兴购房游纯粹的旅行闲适有余却“收获”不足，设计一条可以兼容曼妙风景的购房游路线，提起行囊，开始异地的看房之旅！>>购房游之南海篇“三亚湾实惠浪漫三日游+海景房探秘”★行走路线：D1：三亚湾--鹿回头山顶公园--鹿回头风情园D2：天涯海角--西岛海上娱乐世界D3：七仙岭温泉--椰梦长廊★必看风景：爬上鹿回头，感受爱情传说。“天涯海角”、“南天一柱”佐证你的三亚之行。漫步椰梦长廊，体验当地渔民赶海拉网的生活。★沿途踩盘：鲁能-三亚湾新城(三亚湾)11000元/平米81平米2居-150平米3居力合海景公寓(鹿回头)18800元/平米64、85、124平米的1-2居三亚时代海岸(三亚湾)18000元/平米65平米1居-94平米2居为主，少量3居★购房贴士：在三亚的购房人群中，逾80%是岛外和国外人士，其中长期栖居者占50%。离海太近的房子并不一定就是置业的最佳选择，海边空气高盐高湿，久居内陆的人们可能会水土不服哦……其实，陵水、琼海的景色也不输于三亚，价钱却要实惠到三分之一以下。>>购房游之岭南篇“两江四湖奇迹之旅+民族化旅居体验”★行走路线：D1：桂林--阳朔D2：兴安(灵渠)--资源(猫儿山)D3：资源--龙胜★必看风景：典型的喀斯特地貌造就清澈的漓江、俊朗的峰丛和梦幻般的溶洞。桂林象鼻山、伏波山、叠彩山、阳朔西街、愚自乐园、兴安灵渠、龙脊梯田等都是驴友们不会错过的精彩站点。黄焖土鸡和阳朔西街的啤酒鱼都是口水美食。★沿途踩盘：阳朔尺水街(阳朔)7000元/平米单间、双人间、豪华单间、豪华双人间、套间等金刚-金典世家(桂林)4500元/平米以3居为主金水湾-自由自宅(桂林)12万元/套★购房贴士：桂林每年游客多达千万，其中包含大量国外游客，尤其是阳朔西街，国际村形象深入人心，住在这儿得通晓几门外语才不寒碜吧？因为日照强烈的原因，岭南的房子楼间距比较近，这个可不一定是缺点哦！岭南的气候虽然温和，但比较潮湿，所以这里当地人对一层的房子都不太“感冒”，如果你是北方人，买房前要充分考量这里的气候条件。 我要评论
家居,"房款装修款拆开算 瞰都涉嫌逃税卖房近日，购房人刘挺(化名)买房的时候碰到一个奇怪的事情。位于东北四环东风桥北的瞰都领仕馆6号楼在对外销售的时候，业务员称精装修房销售均价为21000元/平方米左右。而当刘挺去售楼处与开发商进行网签购房合同的时候，合同上显示的房屋销售价格却为18000元/平方米左右。销售人员给他解释说，他想要购买的这套房产单价为20500元/平方米，18000元/平方米是其毛坯价格，装修部分的价格需另行签订一份装修合同，开发商以装修款的名义按照2500元/平方米收取，开具的发票也是装修款。刘挺一时没想明白，没在购房合同上签字。但他不太甘心。刘挺在给本报记者讲述这段买房的特殊经历时说：“20500/平方米的价格虽然被拆开了，但算下来总价好象也没有变化，是不是应该签合同呢？”记者就此楼盘的另类营销方式采访了一位业内资深地产营销负责人。他说，刘挺没有匆匆下定是对的。如果按开发企业这种方式售房，未来业主在出售该套房产时，肯定会为此多掏不少""冤枉钱""。比如说业主购买了总价120万元的房子，在市建委以100万元的价格登记，另外20万元作为装修款支付。那么当业主以140万元出售这套房产时，税务部门会按照首次购买所登记的价格，以40万元的溢价进行收税，而不是以业主实际收益的20万元进行收税。另外，在国家税务总局于2007年6月正式对外公布的《关于承受装修房屋契税计税价格问题的批复》(国税函〔2007〕606号)中明确表示：“房屋买卖的契税计税价格为房屋买卖合同的总价款，买卖装修的房屋，装修费用应包括在内。”也就是说，对于以精装修现房为卖点的楼盘而言，将装修费用刨除在房价之外单独收取的做法，本身就涉嫌逃税。据他分析，开发商之所以采用如此做法收取房款，其中很重要的因素是开发商销售房屋须按5%缴纳营业税，而装修公司只须按3%税率缴纳营业税。开发商相当于利用房屋销售和装修的税费差，降低了自身的税费支出。记者在随后对瞰都领仕馆售楼处相关人员进行采访的时候，销售人员承认在售的6号楼部分房源此前曾以签约房价一分为二的方式进行销售。但她表示：“我们现在卖的房子都是按照正常报价来签订合同的，肯定包括了装修费用。”(北京参考记者 沈静) "
教育,专家指导：参加SSAT考试读美国优质高中(图)SSAT考试的全称是Secondary SchoolAdmission Test)，是美国(微博)中学入学测试，相当于中国的中考，近年来，越来越多的中国学生通过参加SSAT申请美国高中，然后一步步进入世界一流大学。一般而言，美国与加拿大知名度较高、升学率较好的私立中学，都会要求申请的学生必须提供SSAT的测验成绩。因为这些学校信赖SSAT详尽评估的结果，所以SSAT是申请进入美国、加拿大等私立中学时提供给校方的非常重要的参考条件之一。SSAT测验具有一定的难度，对于母语非英语的初中学生来说，很难取得高分，甚至美国本地的中学生想取得好成绩都必须上培训学校，或是重复应考二三次，才有可能达到入学的门槛。何时开始准备：英语程度好或是就读国际学校的学生前期准备：大量阅读英语文章，训练阅读理解能力并累积丰富的词汇量。取得SSAT成绩：需在申请学校前半年。英语程度不好或是就读本市学校的学生提早一年至一年半的时间准备：将语法、词汇及写作能力深固打底，全面加强英语能力。取得SSAT成绩：需在申请学校前8个月，以便有更多的机会重复考试。学校除了要求学生提供 SSAT 考试成绩之外，一般还会要求学生提供成绩单、英数老师的推荐函等文件。如何让SSAT成绩能大幅度地进步呢？业内资深人士认为：考生一定要制订一套有效的读书计划，并彻底落实。例如坚持每天分配一定的词汇量进行背诵；找出适合自己的方法协助理解英文阅读等。关键的一点是，必须让这些习惯至少维持半年以上，才可获得显著的进步。但针对无充裕时间准备、又急切需要申请学校的学生来说，建议可以加强其它学业条件，如把握在校的课业表现，将期末成绩拉到最高，让自己在学校的学习曲线呈现持续上升的趋势，也让美国校方知道，自己是具有成长的潜力的。
财经,中银基金管理公司聘任俞岱曦为副总经理全景网3月6日讯 中银基金周五公布，经公司第二届董事会第五次会议审议通过，决定聘任俞岱曦先生担任公司副总经理。俞岱曦，历任鹏华基金管理有限公司基金普润基金经理助理、行业分析师；嘉实基金管理有限公司全国社保基金106组合基金经理、基金丰和基金经理助理。2007年11月起担任中银基金管理公司助理执行总裁，2008年4月1日至今，任中银增长基金经理。（全景网/陈丹蓉）
财经,抄底A股 赵丹阳欲再披挂上阵匡志勇新产品发行时间未确定 称目前非最适入市时机昨日有消息称“阳光私募第一人”赵丹阳将回归A股，并联手平安信托发行新信托产品，赵丹阳旗下深圳市赤子之心资产管理公司副总经理李剑鸣对《第一财经日报》称：“没有这么回事！发信托私募也不是坏事，如果要发新产品肯定不会骗你，没必要否认嘛。”但平安信托内部人士透露，赵丹阳确实曾跟平安信托接触，表达过合作意向，但是赵丹阳认为目前没到最好时机，发行时间还没有确定。2004年，赵丹阳率先将信托私募引入内地，联手深国投发行了一只投资于证券市场的信托私募产品。自此后，私募基金借助信托平台逐渐成为一条主渠道，目前这种阳光私募基金已经达到数百只。赵丹阳依靠旗下基金的良好业绩奠定了江湖地位，而在2007年末A股站在高位之际，赵丹阳毅然宣布将旗下5只A股信托私募基金10多亿元资金清盘。昨日，当赵丹阳意欲回归A股私募的消息披露后，甚至有股评人士将社保基金跑步入场与赵丹阳欲重出江湖并列为超级利好。李剑鸣曾长期担任赵丹阳的助手，其昨日接受本报记者电话采访时称：“赤子之心和赵总（赵丹阳）都没有在近期发行A股信托产品的计划，不晓得为什么会有这种消息出来。你不要怀疑，这种事情不是什么坏事，如果要发新产品，我们没必要否认。”平安信托内部人士告诉本报记者，赵丹阳的赤子之心确实前期有和平安信托接触过，表达过合作意向。不过发行新产品的时间还没确定，主要是赵丹阳认为目前并非最合适的时机。在2007年末清盘A股信托私募之前，赵丹阳合作的两个信托平台就是深国投和平安信托。去年10月份，平安信托副总经理何勇接受本报记者采访时称，在赵丹阳清盘信托私募之前曾专门找赵丹阳深谈一次，并对赵丹阳的勇气和职业道德表示极大的敬佩。深圳一名曾投资于“赤子之心”信托产品的投资人称：“如果赵丹阳发行新产品，会毫不犹豫地购买，主要是放心。赵丹阳的清盘举动不仅仅说明道德因素，也说明他的投资风格谨慎，安全系数高，让投资人放心。”一位女私募经理也对赵丹阳的回归表示欢迎，她认为以赵丹阳的投资理念，如果连他都看好A股，那证明A股确实已进入值得中长线投资的阶段。目前，赵丹阳旗下只在香港管理一只基金——赤子之心中国成长投资基金，这是第一只投资内地概念股的中国境外基金。去年，该基金投资回报率为-18.84%，同期恒生指数下跌48.3%，国企指数下跌51%。在去年岁末写的“致投资者的一封信”中，赵丹阳认为股市泡沫已经基本洗净。
时政,四月至今全国6736万人遭洪灾307人死亡中新网7月30日电 据国家防总办公室统计，截至7月30日，全国累计已有29个省(区、市)和新疆生产建设兵团发生不同程度的洪涝灾害，农作物受灾5335千公顷，受灾人口6736万人，死亡307人、失踪113人，倒塌房屋26万间，直接经济损失约465亿元。自4月1日入汛以来，影响中国的冷空气活动频繁，过程性降水频发，局部暴雨超强，台风或热带气旋登陆集中，部分地区遭受严重的山洪、滑坡、泥石流等洪涝灾害。除太湖和珠江流域西江发生超警戒洪水外，全国大江大河水势平稳，但局部暴雨洪水频发，全国有近130条中小河流相继发生了超警以上洪水，其中珠江流域柳江发生了20年一遇大洪水，部分河流发生超历史记录的特大洪水。经过努力，当前全国洪涝灾害主要统计指标均低于多年同期平均值，其中死亡人口减少八成，受灾面积、受灾人口减少四成，直接经济损失减少三成。7月24日以来，江南、华南、西南出现了一次大范围强降水过程，降雨持续时间长，暴雨中心多、强度大，大于100、200毫米的暴雨笼罩面积分别为25.1、2.2万平方公里。其中，湖南省怀化市洪江县日雨量400毫米、6小时降雨378毫米，四川市攀枝花市米易县6小时雨量174毫米，均超过当地同历时暴雨极值。这次强降雨造成四川、湖南、广西、重庆、安徽、江西、贵州、云南等省区市部分地区，特别是山丘区发生了严重的山洪灾害，人员伤亡较重。据统计，此次降雨过程共造成这些省份农作物受灾340千公顷，受灾人口483万人，死亡70人、失踪51人，倒塌房屋1.3万间，直接经济损失近34亿元。其中四川省米易县强降雨引发的严重山洪灾害，造成23人死亡、6人失踪。主要原因是该县位于高山峡谷区，河床深切，坡降大，山体松散，民房等设施均临河而建。凌晨时分形成的山洪挟带大量沙石，破坏性强，民房等设施短时间内迅速被冲淹，致使人员伤亡严重。党中央、国务院领导对防范此次强降雨工作高度重视，多次作出重要指示，指导和部署防汛抢险救灾工作。国家防总、水利部周密安排，超前部署，滚动预报雨水情，加密会商研判汛情，先后4次发出紧急通知，分别就强降雨防范工作、涉河人员防汛安全管理、四川省防汛保安工作等做出具体安排。国家气候中心8月气候趋势预测会商会透露，自今年6月27日～7月26日近30天时间里，中国有21个省(市、区)152个站点日最高气温达到极端高温事件标准，17个省(区)71个站点日降水量达到极端强降水事件标准。与去年相比，两种极端事件均有出现站点多、范围广、超历史极值的记录多等特点。目前，中国正处于“七下八上”防汛关键期，高强度、大范围的降雨随时可能发生，特别是北方地区有发生流域性大洪水的可能。部分地区发生多次强降雨过程后，土壤含水接近饱和，江河水位高，一些水库已接近或超过汛限水位，如再发生强降雨极易形成大洪水，山洪、滑坡、泥石流灾害不可避免，防汛形势十分严峻。国家防总、水利部将继续密切监视汛情、旱情，加强监测预报预警，组织各地全面加强防汛抢险救灾工作，继续把大江大河防汛，震损水库、堰塞湖、病险水库、水电站安全度汛和山洪灾害、台风防御放在更加突出的位置，把防汛保群众生命安全、抗旱保居民生活供水放在更加突出的位置，最大限度地减轻水旱灾害的损失和影响。
