Unnamed: 0,date,open,high,low,close,volume
0,20140604,2.19,2.19,2.17,2.18,23781156.0
1,20140605,2.18,2.19,2.17,2.19,19940352.0
2,20140606,2.19,2.19,2.17,2.17,21899724.0
3,20140609,2.17,2.18,2.16,2.17,19773368.0
4,20140610,2.17,2.18,2.16,2.17,31132304.0
5,20140611,2.17,2.18,2.16,2.17,25544012.0
6,20140612,2.17,2.18,2.16,2.16,31743644.0
7,20140613,2.17,2.18,2.16,2.16,55137320.0
8,20140616,2.17,2.19,2.17,2.19,44283568.0
9,20140617,2.18,2.19,2.16,2.18,38577168.0
10,20140618,2.17,2.18,2.16,2.17,33602412.0
11,20140619,2.16,2.17,2.12,2.14,41367040.0
12,20140620,2.17,2.19,2.15,2.16,56402976.0
13,20140623,2.15,2.19,2.14,2.17,56402464.0
14,20140624,2.16,2.17,2.15,2.16,34647592.0
15,20140625,2.16,2.16,2.15,2.16,21151680.0
16,20140626,2.16,2.17,2.15,2.17,31578858.0
17,20140627,2.16,2.17,2.15,2.16,39265760.0
18,20140630,2.16,2.18,2.15,2.18,40127544.0
19,20140701,2.18,2.24,2.17,2.21,93031368.0
20,20140702,2.2,2.21,2.18,2.19,41742800.0
21,20140703,2.2,2.22,2.2,2.21,56320208.0
22,20140704,2.21,2.22,2.19,2.21,45532140.0
23,20140707,2.14,2.14,2.12,2.13,41103060.0
24,20140708,2.13,2.13,2.11,2.13,31766316.0
25,20140709,2.12,2.13,2.11,2.12,28031486.0
26,20140710,2.12,2.12,2.11,2.11,27158862.0
27,20140711,2.12,2.14,2.12,2.13,34002816.0
28,20140714,2.13,2.14,2.11,2.14,39027136.0
29,20140715,2.12,2.14,2.12,2.14,38449060.0
30,20140716,2.13,2.17,2.12,2.16,92251136.0
31,20140717,2.15,2.16,2.13,2.15,37310920.0
32,20140718,2.15,2.17,2.15,2.16,54002432.0
33,20140721,2.15,2.15,2.13,2.13,33766512.0
34,20140722,2.13,2.17,2.13,2.16,68018016.0
35,20140723,2.16,2.18,2.15,2.16,65304792.0
36,20140724,2.16,2.21,2.15,2.19,116230000.0
37,20140725,2.17,2.25,2.17,2.23,175469312.0
38,20140728,2.23,2.29,2.23,2.27,201155600.0
39,20140729,2.27,2.27,2.24,2.25,116184272.0
40,20140730,2.24,2.27,2.23,2.25,82635504.0
41,20140731,2.24,2.48,2.23,2.41,331630944.0
42,20140801,2.35,2.38,2.32,2.33,191338032.0
43,20140804,2.33,2.36,2.3,2.36,104462096.0
44,20140805,2.36,2.36,2.33,2.36,80087008.0
45,20140806,2.35,2.42,2.33,2.4,174580704.0
46,20140807,2.44,2.46,2.35,2.37,156356416.0
47,20140808,2.36,2.46,2.36,2.43,202803968.0
48,20140811,2.41,2.43,2.4,2.43,97392312.0
49,20140812,2.42,2.42,2.37,2.4,109389600.0
50,20140813,2.38,2.39,2.35,2.38,93425744.0
51,20140814,2.37,2.38,2.33,2.34,75410872.0
52,20140815,2.33,2.36,2.33,2.35,73043392.0
53,20140818,2.35,2.38,2.34,2.36,73795112.0
54,20140819,2.36,2.39,2.35,2.38,89185368.0
55,20140820,2.37,2.38,2.35,2.37,65238824.0
56,20140821,2.36,2.37,2.33,2.35,62226032.0
57,20140822,2.34,2.35,2.33,2.34,50957088.0
58,20140825,2.35,2.35,2.31,2.32,56004764.0
59,20140826,2.32,2.34,2.28,2.3,57655216.0
60,20140827,2.29,2.3,2.27,2.28,59303936.0
61,20140828,2.28,2.28,2.25,2.26,46942084.0
62,20140829,2.26,2.29,2.26,2.28,40939660.0
63,20140901,2.29,2.31,2.28,2.31,44288788.0
64,20140902,2.31,2.33,2.26,2.33,83620448.0
65,20140903,2.31,2.35,2.3,2.34,107408928.0
66,20140904,2.34,2.36,2.31,2.36,111956424.0
67,20140905,2.35,2.37,2.34,2.37,117108120.0
68,20140909,2.37,2.39,2.36,2.38,137585616.0
69,20140910,2.37,2.38,2.35,2.36,70925792.0
70,20140911,2.36,2.4,2.35,2.37,120454168.0
71,20140912,2.36,2.4,2.35,2.4,124683392.0
72,20140915,2.39,2.41,2.38,2.41,108996872.0
73,20140916,2.41,2.61,2.4,2.46,460425536.0
74,20140917,2.45,2.57,2.43,2.51,371983776.0
75,20140918,2.48,2.5,2.45,2.46,215021472.0
76,20140919,2.46,2.46,2.41,2.44,137991152.0
77,20140922,2.42,2.43,2.37,2.38,126862992.0
78,20140923,2.38,2.41,2.37,2.41,82012408.0
79,20140924,2.4,2.48,2.39,2.47,189256736.0
80,20140925,2.46,2.49,2.43,2.44,141528272.0
81,20140926,2.44,2.47,2.43,2.46,89736184.0
82,20140929,2.46,2.47,2.44,2.45,112808776.0
83,20140930,2.46,2.49,2.45,2.48,131806552.0
84,20141008,2.48,2.48,2.43,2.47,116073840.0
85,20141009,2.47,2.59,2.45,2.54,303852288.0
86,20141010,2.52,2.55,2.5,2.51,182508880.0
87,20141013,2.51,2.58,2.5,2.56,218435792.0
88,20141014,2.55,2.56,2.52,2.54,136062256.0
89,20141015,2.54,2.59,2.5,2.56,173718992.0
90,20141016,2.56,2.68,2.54,2.6,413233760.0
91,20141017,2.58,2.6,2.48,2.56,218387072.0
92,20141020,2.55,2.6,2.51,2.58,139287936.0
93,20141021,2.57,2.6,2.53,2.57,143394752.0
94,20141022,2.55,2.56,2.5,2.51,90807856.0
95,20141023,2.49,2.5,2.42,2.43,138344720.0
96,20141024,2.42,2.49,2.41,2.45,101637760.0
97,20141027,2.43,2.44,2.42,2.43,68132104.0
98,20141028,2.44,2.49,2.44,2.49,113604912.0
99,20141029,2.48,2.57,2.47,2.55,303110528.0
100,20141030,2.53,2.75,2.52,2.64,590640192.0
101,20141031,2.6,2.64,2.58,2.63,309244352.0
102,20141103,2.61,2.71,2.6,2.66,420874784.0
103,20141104,2.7,2.74,2.66,2.72,461618720.0
104,20141105,2.69,2.7,2.61,2.62,329363520.0
105,20141106,2.6,2.65,2.59,2.64,181606864.0
106,20141107,2.61,2.64,2.57,2.58,201576400.0
107,20141110,2.61,2.69,2.58,2.67,295023520.0
108,20141111,2.66,2.71,2.6,2.62,344037600.0
109,20141112,2.6,2.66,2.58,2.66,158538144.0
110,20141113,2.65,2.74,2.6,2.7,359199392.0
111,20141114,2.68,2.7,2.63,2.65,204121456.0
112,20141117,2.69,2.72,2.63,2.63,165174496.0
113,20141118,2.63,2.64,2.59,2.61,131553024.0
114,20141119,2.62,2.63,2.59,2.61,75260784.0
115,20141120,2.6,2.6,2.58,2.59,81323968.0
116,20141121,2.59,2.62,2.57,2.62,99216416.0
117,20141124,2.64,2.69,2.62,2.67,258592768.0
118,20141125,2.67,2.85,2.65,2.82,695383360.0
119,20141126,2.8,2.81,2.74,2.78,404967616.0
120,20141127,2.78,2.8,2.73,2.79,269000576.0
121,20141128,2.8,2.83,2.74,2.8,319098720.0
122,20141201,2.77,2.85,2.75,2.8,377081664.0
123,20141202,2.85,2.89,2.83,2.86,429633216.0
124,20141203,2.86,3.15,2.84,3.06,820547456.0
125,20141204,3.06,3.13,3.03,3.13,645356160.0
126,20141205,3.13,3.19,2.92,3.05,596742400.0
127,20141208,3.0,3.19,2.93,3.16,572304704.0
128,20141209,3.16,3.34,3.06,3.1,841567936.0
129,20141210,3.2,3.25,3.1,3.23,453272224.0
130,20141211,3.22,3.22,3.13,3.22,407926816.0
131,20141212,3.22,3.33,3.21,3.27,377334080.0
132,20141215,3.3,3.3,3.18,3.28,310733632.0
133,20141216,3.26,3.29,3.2,3.27,309894688.0
134,20141217,3.25,3.26,3.18,3.22,319639616.0
135,20141218,3.22,3.27,3.18,3.22,357951936.0
136,20141219,3.2,3.36,3.19,3.33,717712192.0
137,20141222,3.35,3.66,3.35,3.6,1105783168.0
138,20141223,3.48,3.52,3.35,3.37,578733504.0
139,20141224,3.36,3.37,3.2,3.24,405593504.0
140,20141225,3.24,3.32,3.21,3.32,301420128.0
141,20141226,3.32,3.43,3.28,3.4,398414048.0
142,20141229,3.44,3.48,3.32,3.37,399399296.0
143,20141230,3.34,3.37,3.26,3.29,269356384.0
144,20141231,3.31,3.42,3.31,3.38,321906336.0
145,20150105,3.39,3.68,3.39,3.65,891583168.0
146,20150106,3.65,3.84,3.55,3.75,833516224.0
147,20150107,3.8,4.1,3.75,3.98,857230016.0
148,20150108,3.9,3.94,3.78,3.8,538367104.0
149,20150109,3.78,3.86,3.72,3.74,384060416.0
150,20150112,3.73,3.82,3.7,3.76,323777856.0
151,20150113,3.8,3.87,3.66,3.72,302321792.0
152,20150114,3.72,3.72,3.53,3.59,322081216.0
153,20150115,3.56,3.64,3.45,3.63,266723664.0
154,20150116,3.9,3.98,3.71,3.77,454817760.0
155,20150119,3.69,3.91,3.45,3.6,584717568.0
156,20150120,3.57,3.68,3.51,3.64,336777152.0
