,,open,high,low,close,volume
0,2013-11-25,30.8,31.42,30.65,31.23,13162114.0
1,2013-11-26,31.2,31.66,30.91,31.3,15591490.0
2,2013-11-27,31.1,31.4,30.71,30.85,18208714.0
3,2013-11-28,30.85,31.5,30.7,31.18,12391132.0
4,2013-11-29,31.18,31.28,30.83,31.2,11364062.0
5,2013-12-02,30.8,31.19,30.09,30.26,14593540.0
6,2013-12-03,30.46,31.05,30.25,30.88,13955314.0
7,2013-12-04,30.8,31.95,30.69,31.75,21964860.0
8,2013-12-05,31.8,32.49,31.8,31.82,12770838.0
9,2013-12-06,31.9,32.38,31.68,32.38,10165035.0
10,2013-12-09,32.91,33.31,32.3,33.28,20553644.0
11,2013-12-10,33.34,34.22,33.28,33.5,21433238.0
12,2013-12-11,33.01,33.57,32.62,32.88,12897059.0
13,2013-12-12,32.98,32.98,32.22,32.6,8662885.0
14,2013-12-13,32.02,34.29,32.01,34.29,24780654.0
15,2013-12-16,34.3,34.34,33.35,33.37,16769462.0
16,2013-12-17,33.35,33.48,32.16,32.29,15588386.0
17,2013-12-18,32.25,32.74,32.01,32.35,12018309.0
18,2013-12-19,32.49,32.68,32.0,32.31,10192284.0
19,2013-12-20,32.39,32.45,30.5,30.5,21662836.0
20,2013-12-23,31.6,32.15,31.18,32.09,16858344.0
21,2013-12-24,32.35,33.0,32.09,32.54,13691638.0
22,2013-12-25,32.65,33.2,32.32,32.75,10648568.0
23,2013-12-26,32.6,32.96,31.52,31.64,14611876.0
24,2013-12-27,31.64,32.55,31.47,32.15,12144588.0
25,2013-12-30,32.16,32.7,32.15,32.41,13947227.0
26,2013-12-31,32.36,33.0,32.31,32.66,13065971.0
27,2014-01-02,32.55,32.88,31.84,32.08,14818545.0
28,2014-01-03,31.6,31.84,30.66,30.99,25671922.0
29,2014-01-06,31.0,31.0,29.82,30.02,25283880.0
30,2014-01-07,29.8,30.34,29.69,29.97,12923255.0
31,2014-01-08,30.01,30.55,29.85,30.16,12632562.0
32,2014-01-09,30.01,30.2,29.29,29.46,15960016.0
33,2014-01-10,29.4,29.66,29.25,29.48,13187098.0
34,2014-01-13,29.46,29.68,27.93,28.35,26472628.0
35,2014-01-14,28.35,29.36,28.29,29.23,16209978.0
36,2014-01-15,29.24,29.89,28.74,29.35,14939658.0
37,2014-01-16,29.58,29.58,28.38,28.8,18542192.0
38,2014-01-17,28.6,28.88,27.85,28.07,18803720.0
39,2014-01-20,28.07,29.68,27.92,29.57,24323202.0
40,2014-01-21,29.55,29.9,29.21,29.65,16980914.0
41,2014-01-22,29.75,30.49,29.4,30.4,20251912.0
42,2014-01-23,30.45,30.85,30.06,30.28,14950160.0
43,2014-01-24,30.09,30.25,29.8,30.0,17994296.0
44,2014-01-27,29.85,29.85,28.61,29.0,24399882.0
45,2014-01-28,29.1,29.41,28.9,29.2,11433158.0
46,2014-01-29,29.25,29.42,28.5,28.68,18138230.0
47,2014-01-30,28.85,28.85,27.88,28.36,16829944.0
48,2014-02-07,28.0,28.79,27.77,28.75,14711736.0
49,2014-02-10,29.0,29.78,28.95,29.56,23546988.0
50,2014-02-11,29.5,30.13,29.21,29.92,23150928.0
51,2014-02-12,29.8,31.6,29.72,31.08,36380800.0
52,2014-02-13,31.28,32.2,31.05,31.74,36298100.0
53,2014-02-14,31.6,32.14,30.9,31.63,32731016.0
54,2014-02-17,31.8,32.03,31.24,31.56,21762056.0
55,2014-02-18,31.56,31.59,30.2,31.35,41158404.0
56,2014-02-19,31.26,32.44,30.7,31.95,39378064.0
57,2014-02-20,32.43,33.3,30.8,30.95,57335548.0
58,2014-02-21,30.95,30.96,29.79,30.5,30450580.0
59,2014-02-24,30.12,30.12,27.71,28.37,65801988.0
60,2014-02-25,28.35,28.59,27.61,27.78,42120472.0
61,2014-02-26,27.77,28.5,27.41,28.07,26712354.0
62,2014-02-27,28.1,28.23,26.28,26.36,51911288.0
63,2014-02-28,26.26,28.02,25.9,27.75,38107772.0
64,2014-03-03,27.6,28.58,27.51,28.13,29960232.0
65,2014-03-04,28.0,28.25,27.58,28.0,17830950.0
66,2014-03-05,27.93,28.18,27.1,27.38,23204824.0
67,2014-03-06,27.33,28.02,26.99,27.94,20362454.0
68,2014-03-07,27.95,28.11,27.63,27.76,10273192.0
69,2014-03-10,27.69,28.18,27.02,27.2,19334432.0
70,2014-03-11,27.2,27.88,27.02,27.79,21623064.0
71,2014-03-12,27.75,28.58,27.5,28.16,26234546.0
72,2014-03-13,28.26,28.49,27.85,27.97,20191172.0
73,2014-03-14,27.88,27.97,27.4,27.59,15895322.0
74,2014-03-17,27.67,27.96,27.66,27.84,10933781.0
75,2014-03-18,27.91,27.94,27.3,27.4,20766408.0
76,2014-03-19,27.25,27.25,26.6,26.9,23414558.0
77,2014-03-20,26.82,26.98,26.44,26.46,21281952.0
78,2014-03-21,26.3,27.2,26.09,27.12,20453060.0
79,2014-03-24,27.22,27.25,26.7,26.81,17717198.0
80,2014-03-25,26.81,27.37,26.81,27.14,13884380.0
81,2014-03-26,27.22,27.47,27.13,27.13,10857737.0
82,2014-03-27,27.13,27.26,26.64,26.74,11959756.0
83,2014-03-28,26.73,27.85,26.61,27.6,28243124.0
84,2014-03-31,28.0,28.87,27.9,28.0,27102782.0
85,2014-04-01,27.9,28.58,27.73,28.32,17809904.0
86,2014-04-02,28.32,28.53,28.04,28.21,11926546.0
87,2014-04-03,28.48,28.7,27.86,27.9,17034302.0
88,2014-04-04,27.9,28.57,27.83,28.47,16374372.0
89,2014-04-08,28.29,29.88,28.25,29.49,38495504.0
90,2014-04-09,29.49,30.33,29.49,29.95,32323762.0
91,2014-04-10,30.8,31.18,30.02,30.21,43777928.0
92,2014-04-11,30.12,31.39,30.01,31.31,48070344.0
93,2014-04-14,31.3,31.35,30.71,31.1,23356712.0
94,2014-04-15,30.99,31.05,30.1,30.12,22651630.0
95,2014-04-16,29.95,30.72,29.7,30.44,17798652.0
